       Layer  Neurons  BNNAccuracy  BNNFairTrainingAccuracy  BNNMaxDifference  BNNFairTrainingMaxDifference  BNNMinDifference  BNNFairTrainingMinDifference  BNNFairnessScore  BNNFairTrainingFairnessScore  BNNAvgDiff  BNNFairTrainingAvgDiff  BNNRecall  BNNFairTrainingRecall  BNNPrecision  BNNFairTrainingPrecision  BNNMeanEntropy  BNNFairTrainingMeanEntropy     BNNTime  BNNFairTrainingTime  BNNAdversaryAccuracy  BNNAdversaryMaxDifference  BNNAdversaryMinDifference  BNNAdversaryFairnessScore  BNNAdversaryAvgDiff
L1N16    1.0     16.0     0.834162                 0.772779          0.847893                      0.433094          0.039706                      0.000039          0.152106                      0.566906    0.504488                0.178256   0.733278               0.554712      0.783821                  0.518423        0.355655                    0.326416  200.902332           344.189195              0.759251                   0.157052               0.000000e+00                   0.842948         1.170314e-02
L2N16    2.0     16.0     0.832520                 0.784158          0.872683                      0.451868          0.045997                      0.000638          0.127316                      0.548132    0.553266                0.156095   0.747680               0.575127      0.778410                  0.559241        0.361648                    0.339184  262.774472           391.068996              0.759251                   0.025838               7.732391e-03                   0.974162         1.474801e-02
L3N16    3.0     16.0     0.832765                 0.773035          0.836922                      0.480724          0.022447                      0.002685          0.163078                      0.519276    0.512838                0.181819   0.736203               0.547792      0.782354                  0.465849        0.347495                    0.343168  314.785041           452.193363              0.759251                   0.049773               0.000000e+00                   0.950227         1.943016e-02
L4N16    4.0     16.0     0.812329                 0.761128          0.570532                      0.206406          0.014645                      0.000006          0.429468                      0.793594    0.313556                0.083037   0.656192               0.505446      0.693270                  0.421275        0.406108                    0.438982  387.169606           526.075250              0.759251                   0.006022               0.000000e+00                   0.993978         2.857239e-03
L5N16    5.0     16.0     0.823000                 0.762271          0.681741                      0.228295          0.024256                      0.000058          0.318259                      0.771705    0.374672                0.092061   0.695330               0.508594      0.737418                  0.422392        0.380984                    0.447713  428.657047           609.866500              0.759251                   0.003630               0.000000e+00                   0.996370         4.321125e-04
L1N8     1.0      8.0     0.829710                 0.766604          0.774384                      0.441232          0.020954                      0.000000          0.225616                      0.558768    0.451777                0.180857   0.730832               0.526812      0.776062                  0.422272        0.383353                    0.314716  194.808071           307.270363              0.759251                   0.153067               0.000000e+00                   0.846933         7.946768e-02
L2N8     2.0      8.0     0.817795                 0.759251          0.745335                      0.354336          0.022305                      0.000000          0.254665                      0.645664    0.425403                0.141926   0.681963               0.500000      0.689269                  0.379625        0.364794                    0.339466  272.907337           402.180455              0.759251                   0.001300               0.000000e+00                   0.998700         6.423063e-05
L3N8     3.0      8.0     0.825181                 0.766706          0.739784                      0.268256          0.020684                      0.004165          0.260216                      0.731744    0.445717                0.114820   0.738448               0.523274      0.778165                  0.423733        0.355072                    0.417229  319.817433           463.136659              0.759251                   0.029072               1.251698e-06                   0.970928         7.054573e-03
L4N8     4.0      8.0     0.801658                 0.760684          0.544974                      0.181588          0.017125                      0.000063          0.455026                      0.818412    0.290741                0.072226   0.674368               0.503944      0.675310                  0.422370        0.418732                    0.472552  386.066356           509.577229              0.759251                   0.029199               0.000000e+00                   0.970801         6.068567e-03
L5N8     5.0      8.0     0.808936                 0.759251          0.604671                      0.048651          0.007132                      0.000000          0.395329                      0.951349    0.359161                0.016698   0.684896               0.500000      0.687669                  0.379625        0.408193                    0.551312  418.890649           604.817311              0.759251                   0.000000               0.000000e+00                   1.000000         0.000000e+00
L1N4     1.0      4.0     0.805742                 0.766484          0.570108                      0.418175          0.003092                      0.000000          0.429892                      0.581825    0.297865                0.180740   0.655493               0.525790      0.642525                  0.422272        0.406857                    0.305469  205.717157           332.586276              0.759251                   0.000000               0.000000e+00                   1.000000         0.000000e+00
L2N4     2.0      4.0     0.815093                 0.759251          0.672968                      0.217084          0.000143                      0.000000          0.327032                      0.782916    0.339692                0.076875   0.693054               0.500000      0.736457                  0.379625        0.374825                    0.416553  275.282115           405.357823              0.759251                   0.066667               0.000000e+00                   0.933333         2.760204e-03
L3N4     3.0      4.0     0.804652                 0.767286          0.451337                      0.258068          0.000000                      0.000000          0.548663                      0.741932    0.226447                0.088590   0.667098               0.524769      0.683373                  0.424377        0.408071                    0.417696  296.157965           472.298182              0.759251                   0.000000               0.000000e+00                   1.000000         0.000000e+00
L4N4     4.0      4.0     0.772471                 0.759251          0.243250                      0.036877          0.000000                      0.000000          0.756750                      0.963123    0.111565                0.013150   0.545677               0.500000      0.467911                  0.379625        0.468193                    0.518390  382.832297           553.811172              0.759251                   0.004927               0.000000e+00                   0.995073         7.564747e-07
L5N4     5.0      4.0     0.773591                 0.759251          0.174317                      0.001190          0.000000                      0.000000          0.825683                      0.998810    0.064746                0.000813   0.549788               0.500000      0.468671                  0.379625        0.493840                    0.545494  442.373681           585.391851              0.759251                   0.015515               0.000000e+00                   0.984485         1.068654e-02
L1N2     1.0      2.0     0.788884                 0.761469          0.532210                      0.376761          0.002212                      0.000000          0.467790                      0.623239    0.248714                0.165809   0.599885               0.530157      0.560504                  0.417420        0.403636                    0.331536  219.354863           333.975851              0.759251                   0.160267               0.000000e+00                   0.839733         1.121705e-01
L2N2     2.0      2.0     0.774682                 0.759251          0.343710                      0.093368          0.000000                      0.000000          0.656290                      0.906632    0.138808                0.031489   0.603792               0.500000      0.537118                  0.379625        0.449719                    0.474062  275.089476           377.121231              0.759251                   0.000000               0.000000e+00                   1.000000         0.000000e+00
L3N2     3.0      2.0     0.772624                 0.759251          0.253425                      0.190490          0.000000                      0.000000          0.746575                      0.809510    0.099779                0.092643   0.602844               0.500000      0.532753                  0.379625        0.456189                    0.417868  330.019293           479.311472              0.759251                   0.006335               0.000000e+00                   0.993665         6.453482e-04
L4N2     4.0      2.0     0.759251                 0.759251          0.097806                      0.055631          0.000000                      0.000000          0.902194                      0.944369    0.024810                0.026163   0.500000               0.500000      0.379625                  0.379625        0.513970                    0.509271  341.706224           536.615554              0.759251                   0.000000               0.000000e+00                   1.000000         0.000000e+00
L5N2     5.0      2.0     0.759251                 0.759251          0.000131                      0.000000          0.000000                      0.000000          0.999869                      1.000000    0.000002                0.000000   0.500000               0.500000      0.379625                  0.379625        0.529270                    0.514494  432.742619           607.843051              0.759251                   0.000000               0.000000e+00                   1.000000         0.000000e+00
