       Layer  Neurons  BNNAccuracy  BNNFairTrainingAccuracy  BNNMaxDifference  BNNFairTrainingMaxDifference  BNNMinDifference  BNNFairTrainingMinDifference  BNNFairnessScore  BNNFairTrainingFairnessScore  BNNAvgDiff  BNNFairTrainingAvgDiff  BNNRecall  BNNFairTrainingRecall  BNNPrecision  BNNFairTrainingPrecision  BNNMeanEntropy  BNNFairTrainingMeanEntropy     BNNTime  BNNFairTrainingTime  BNNAdversaryAccuracy  BNNAdversaryMaxDifference  BNNAdversaryMinDifference  BNNAdversaryFairnessScore  BNNAdversaryAvgDiff
L1N64    1.0     64.0     0.837463                 0.824266          0.920109                      0.804919          0.055561                      0.000168          0.079891                      0.195081    0.613844                0.243548   0.730473               0.729924      0.794756                  0.765269        0.344128                    0.299605  194.984369           307.914780              0.759251                   0.189794               0.000000e+00                   0.810206         3.119115e-02
L2N64    2.0     64.0     0.839137                 0.820666          0.932309                      0.790012          0.059090                      0.000203          0.067691                      0.209988    0.663928                0.241734   0.749362               0.727795      0.789015                  0.761426        0.337175                    0.300385  285.740036           417.780442              0.759251                   0.031571               0.000000e+00                   0.968429         7.324157e-03
L3N64    3.0     64.0     0.837494                 0.817169          0.913382                      0.670378          0.050237                      0.019473          0.086618                      0.329622    0.628082                0.234598   0.736025               0.690432      0.790627                  0.729659        0.338184                    0.312756  351.257831           469.631552              0.759251                   0.012295               0.000000e+00                   0.987705         3.751756e-03
L4N64    4.0     64.0     0.838154                 0.812154          0.906341                      0.554836          0.048687                      0.015180          0.093659                      0.445164    0.611355                0.190248   0.744894               0.659522      0.788552                  0.781080        0.343501                    0.317071  398.776828           539.544727              0.759251                   0.003540               1.788139e-07                   0.996460         4.634901e-04
L5N64    5.0     64.0     0.835560                 0.795247          0.883458                      0.502193          0.035964                      0.018946          0.116542                      0.497807    0.591385                0.173218   0.732360               0.602681      0.790742                  0.701813        0.347047                    0.317590  465.631212           653.126071              0.759251                   0.006359               1.788139e-07                   0.993641         1.414505e-03
L1N32    1.0     32.0     0.837755                 0.806012          0.920266                      0.597951          0.064430                      0.000539          0.079734                      0.402049    0.626925                0.184509   0.736633               0.681585      0.791036                  0.675389        0.347693                    0.339467  220.534124           297.697706              0.759251                   0.098480               0.000000e+00                   0.901520         1.469371e-02
L2N32    2.0     32.0     0.837602                 0.817203          0.898987                      0.666100          0.050585                      0.002833          0.101012                      0.333900    0.622202                0.214547   0.732438               0.690600      0.792897                  0.771626        0.344123                    0.318755  277.109297           367.269764              0.759251                   0.062527               0.000000e+00                   0.937473         3.793839e-03
L3N32    3.0     32.0     0.837341                 0.800706          0.888206                      0.599076          0.045691                      0.000846          0.111794                      0.400924    0.599876                0.180660   0.736855               0.630642      0.790245                  0.740380        0.353578                    0.345964  316.298803           485.525315              0.759251                   0.006652               0.000000e+00                   0.993348         7.417630e-04
L4N32    4.0     32.0     0.834301                 0.773240          0.834662                      0.430950          0.038829                      0.004533          0.165338                      0.569050    0.525309                0.177419   0.720825               0.544660      0.791020                  0.466513        0.357436                    0.317681  392.653659           526.729997              0.759251                   0.033474               6.556511e-07                   0.966526         4.979575e-03
L5N32    5.0     32.0     0.832596                 0.772848          0.856362                      0.414879          0.038562                      0.002143          0.143638                      0.585121    0.534687                0.151323   0.734244               0.544885      0.782465                  0.522665        0.353499                    0.373999  444.885081           623.282693              0.759251                   0.000867               0.000000e+00                   0.999133         6.402699e-05
