       Layer  Neurons  BNNAccuracy  BNNFairTrainingAccuracy  BNNMaxDifference  BNNFairTrainingMaxDifference  BNNMinDifference  BNNFairTrainingMinDifference  BNNFairnessScore  BNNFairTrainingFairnessScore  BNNAvgDiff  BNNFairTrainingAvgDiff  BNNRecall  BNNFairTrainingRecall  BNNPrecision  BNNFairTrainingPrecision  BNNMeanEntropy  BNNFairTrainingMeanEntropy     BNNTime  BNNFairTrainingTime  BNNAdversaryAccuracy  BNNAdversaryMaxDifference  BNNAdversaryMinDifference  BNNAdversaryFairnessScore  BNNAdversaryAvgDiff
L1N4     1.0      4.0     0.801459                 0.761708          0.331631                      0.302157          0.000231                      0.000000          0.668369                      0.697843    0.088899            4.612260e-02   0.614428               0.531642      0.574959                  0.421294        0.414021                    0.412465  222.252550           331.991464              0.792262                   0.150141               3.542902e-03                   0.849859             0.049911
L2N4     2.0      4.0     0.806786                 0.771995          0.272933                      0.168604          0.000152                      0.000000          0.727067                      0.831396    0.075939            3.610939e-02   0.655654               0.588775      0.678888                  0.508397        0.401354                    0.471452  268.627945           398.078042              0.784277                   0.110607               0.000000e+00                   0.889393             0.015555
L3N4     3.0      4.0     0.820252                 0.767177          0.310218                      0.088704          0.000480                      0.000000          0.689782                      0.911296    0.087102            1.624561e-02   0.684651               0.525363      0.727009                  0.428515        0.403965                    0.505446  316.525972           472.391865              0.759251                   0.016288               0.000000e+00                   0.983712             0.000082
L4N4     4.0      4.0     0.778950                 0.766486          0.220165                      0.059714          0.000000                      0.000000          0.779835                      0.940286    0.052195            1.324379e-02   0.616772               0.522159      0.568424                  0.428651        0.460015                    0.515639  388.804609           543.026404              0.759251                   0.000000               0.000000e+00                   1.000000             0.000000
L5N4     5.0      4.0     0.785613                 0.765297          0.147503                      0.037610          0.000000                      0.000000          0.852497                      0.962390    0.048811            9.820855e-03   0.584034               0.519660      0.524952                  0.426759        0.475243                    0.541346  428.657844           610.794681              0.759251                   0.000518               0.000000e+00                   0.999482             0.000012
L1N2     1.0      2.0     0.766467                 0.766602          0.230184                      0.244173          0.000000                      0.000000          0.769817                      0.755827    0.040290            4.093385e-02   0.500000               0.526862      0.379625                  0.426625        0.437840                    0.413881  196.605923           323.960728              0.783894                   0.137750               0.000000e+00                   0.862250             0.028497
L2N2     2.0      2.0     0.784953                 0.759251          0.207247                      0.257318          0.000000                      0.000000          0.792753                      0.742682    0.039772            3.292222e-02   0.602656               0.500000      0.575693                  0.379625        0.447314                    0.424547  278.458973           396.326150              0.759251                   0.006361               0.000000e+00                   0.993639             0.000131
L3N2     3.0      2.0     0.764871                 0.759251          0.142272                      0.068485          0.000000                      0.000000          0.857728                      0.931515    0.024757            1.214635e-02   0.525014               0.500000      0.426513                  0.379625        0.474073                    0.479092  322.289161           484.761117              0.759251                   0.008212               0.000000e+00                   0.991788             0.000746
L4N2     4.0      2.0     0.759251                 0.759251          0.065364                      0.000061          0.000000                      0.000000          0.934637                      0.999939    0.011272            3.583554e-08   0.500000               0.500000      0.379625                  0.379625        0.485793                    0.514448  385.009534           515.428791              0.759251                   0.000172               0.000000e+00                   0.999827             0.000015
L5N2     5.0      2.0     0.759251                 0.759251          0.075679                      0.002314          0.000000                      0.000000          0.924321                      0.997686    0.009741            2.371931e-05   0.500000               0.500000      0.379625                  0.379625        0.508308                    0.532527  445.745388           625.217882              0.759251                   0.000000               0.000000e+00                   1.000000             0.000000
