       Layer  Neurons  BNNAccuracy  BNNFairTrainingAccuracy  BNNMaxDifference  BNNFairTrainingMaxDifference  BNNMinDifference  BNNFairTrainingMinDifference  BNNFairnessScore  BNNFairTrainingFairnessScore  BNNAvgDiff  BNNFairTrainingAvgDiff  BNNRecall  BNNFairTrainingRecall  BNNPrecision  BNNFairTrainingPrecision  BNNMeanEntropy  BNNFairTrainingMeanEntropy     BNNTime  BNNFairTrainingTime  BNNAdversaryAccuracy  BNNAdversaryMaxDifference  BNNAdversaryMinDifference  BNNAdversaryFairnessScore  BNNAdversaryAvgDiff
L1N16    1.0     16.0     0.835406                 0.822125          0.167947                      0.558692               0.0                           0.0          0.832053                      0.441308    0.020927                0.125125   0.732609               0.727622      0.786010                  0.761712        0.356917                    0.322033  181.689329           261.648145              0.793567                   0.350541                        0.0                   0.649459         8.191177e-02
L2N16    2.0     16.0     0.833211                 0.820302          0.195560                      0.546462               0.0                           0.0          0.804440                      0.453538    0.031352                0.114696   0.741551               0.729443      0.778658                  0.760372        0.374411                    0.333775  230.159763           333.631701              0.789268                   0.277427                        0.0                   0.722573         2.273263e-02
L3N16    3.0     16.0     0.834193                 0.800687          0.199874                      0.389757               0.0                           0.0          0.800126                      0.610243    0.020580                0.089312   0.722919               0.678988      0.790105                  0.657508        0.366117                    0.400002  277.851655           400.916692              0.790266                   0.315722                        0.0                   0.684277         6.828870e-02
L4N16    4.0     16.0     0.819023                 0.810149          0.146817                      0.284781               0.0                           0.0          0.853183                      0.715219    0.018585                0.052585   0.689194               0.699592      0.723370                  0.708226        0.422947                    0.360257  317.573190           460.869712              0.759251                   0.000294                        0.0                   0.999706         3.632594e-05
L5N16    5.0     16.0     0.821618                 0.770670          0.150907                      0.156838               0.0                           0.0          0.849093                      0.843162    0.017514                0.033289   0.693964               0.587631      0.729542                  0.510885        0.368996                    0.473498  361.969395           492.803273              0.792031                   0.158029                        0.0                   0.841971         2.103749e-02
L1N8     1.0      8.0     0.824689                 0.784163          0.184468                      0.336355               0.0                           0.0          0.815532                      0.663645    0.017240                0.050396   0.729111               0.583069      0.781861                  0.526108        0.360354                    0.375593  180.752277           275.176898              0.790342                   0.249442                        0.0                   0.750559         5.595507e-02
L2N8     2.0      8.0     0.832259                 0.804929          0.150659                      0.264708               0.0                           0.0          0.849341                      0.735292    0.019002                0.036512   0.726471               0.658589      0.783763                  0.757453        0.349693                    0.412649  228.175731           287.730094              0.759251                   0.005484                        0.0                   0.994515         6.894798e-05
L3N8     3.0      8.0     0.822202                 0.813584          0.139000                      0.324622               0.0                           0.0          0.861000                      0.675378    0.020510                0.062259   0.724698               0.695730      0.779180                  0.714099        0.385042                    0.393593  284.059215           402.747129              0.759251                   0.000823                        0.0                   0.999177         2.782558e-05
L4N8     4.0      8.0     0.819085                 0.799593          0.170327                      0.194369               0.0                           0.0          0.829673                      0.805631    0.013396                0.038955   0.691189               0.640894      0.721214                  0.621189        0.379502                    0.449679  292.246401           559.229980              0.790957                   0.238794                        0.0                   0.761206         4.069223e-02
L5N8     5.0      8.0     0.787825                 0.775027          0.075012                      0.043532               0.0                           0.0          0.924988                      0.956468    0.010147                0.007586   0.590143               0.551601      0.526915                  0.476806        0.468382                    0.535539  421.183092           607.594149              0.759251                   0.000000                        0.0                   1.000000         0.000000e+00
L1N4     1.0      4.0     0.808782                 0.767772          0.166051                      0.203794               0.0                           0.0          0.833948                      0.796206    0.014848                0.021207   0.676895               0.530464      0.675690                  0.427983        0.385417                    0.421609  216.605920           330.743757              0.759251                   0.121263                        0.0                   0.878737         1.004819e-02
L2N4     2.0      4.0     0.804637                 0.781591          0.149940                      0.147510               0.0                           0.0          0.850060                      0.852490    0.015087                0.011808   0.635752               0.572828      0.622512                  0.524667        0.401149                    0.423045  241.409355           377.416711              0.778751                   0.051045                        0.0                   0.948955         8.455969e-03
L3N4     3.0      4.0     0.771196                 0.764625          0.075548                      0.058442               0.0                           0.0          0.924452                      0.941558    0.006460                0.019333   0.551535               0.530923      0.474821                  0.423627        0.449908                    0.535453  327.456556           444.271385              0.759251                   0.001956                        0.0                   0.998043         2.685055e-06
L4N4     4.0      4.0     0.780209                 0.776294          0.074345                      0.050902               0.0                           0.0          0.925655                      0.949099    0.007261                0.004615   0.584896               0.583331      0.527881                  0.513023        0.454450                    0.490947  384.314694           529.813764              0.759251                   0.004469                        0.0                   0.995532         3.523416e-04
L5N4     5.0      4.0     0.772087                 0.759251          0.046530                      0.000434               0.0                           0.0          0.953470                      0.999566    0.006307                0.000013   0.531741               0.500000      0.425914                  0.379625        0.529672                    0.546366  424.735395           591.144974              0.759251                   0.000000                        0.0                   1.000000         0.000000e+00
L1N2     1.0      2.0     0.789437                 0.761612          0.219978                      0.189934               0.0                           0.0          0.780022                      0.810066    0.016005                0.014014   0.630873               0.532015      0.619759                  0.421358        0.391482                    0.446128  216.654997           307.760650              0.759251                   0.037747                        0.0                   0.962253         5.795545e-06
L2N2     2.0      2.0     0.783833                 0.749156          0.119460                      0.241897               0.0                           0.0          0.880540                      0.758103    0.010383                0.015053   0.596889               0.609148      0.576048                  0.534376        0.424661                    0.431754  270.960106           405.561998              0.759251                   0.010316                        0.0                   0.989683         1.696460e-03
L3N2     3.0      2.0     0.766437                 0.763109          0.118838                      0.029424               0.0                           0.0          0.881162                      0.970576    0.007074                0.001672   0.526249               0.530142      0.430825                  0.421971        0.449742                    0.506584  296.672077           459.086860              0.778751                   0.049093                        0.0                   0.950907         6.391345e-03
L4N2     4.0      2.0     0.778597                 0.759251          0.068847                      0.030496               0.0                           0.0          0.931153                      0.969504    0.004190                0.001088   0.577988               0.500000      0.526324                  0.379625        0.443376                    0.501481  374.894792           517.611233              0.759251                   0.000027                        0.0                   0.999973         2.121351e-08
L5N2     5.0      2.0     0.759251                 0.759251          0.022102                      0.000000               0.0                           0.0          0.977898                      1.000000    0.001068                0.000000   0.500000               0.500000      0.379625                  0.379625        0.535853                    0.521210  426.656479           615.149333              0.759251                   0.000000                        0.0                   1.000000         0.000000e+00
