       Layer  Neurons  BNNAccuracy  BNNFairTrainingAccuracy  BNNMaxDifference  BNNFairTrainingMaxDifference  BNNMinDifference  BNNFairTrainingMinDifference  BNNFairnessScore  BNNFairTrainingFairnessScore  BNNAvgDiff  BNNFairTrainingAvgDiff  BNNRecall  BNNFairTrainingRecall  BNNPrecision  BNNFairTrainingPrecision  BNNMeanEntropy  BNNFairTrainingMeanEntropy     BNNTime  BNNFairTrainingTime  BNNAdversaryAccuracy  BNNAdversaryMaxDifference  BNNAdversaryMinDifference  BNNAdversaryFairnessScore  BNNAdversaryAvgDiff
L1N64    1.0     64.0     0.836941                 0.820685          0.242425                      0.780266               0.0                           0.0          0.757575                      0.219734    0.025860                0.160606   0.741019               0.738406      0.788451                  0.760020        0.349067                    0.316813  191.533401           286.886112              0.794334                   0.424806                        0.0                   0.575194         7.843073e-02
L2N64    2.0     64.0     0.838676                 0.822585          0.223662                      0.796403               0.0                           0.0          0.776338                      0.203597    0.032056                0.169941   0.742733               0.744938      0.789106                  0.759661        0.344777                    0.297681  211.717396           332.051207              0.793874                   0.312383                        0.0                   0.687617         5.483779e-02
L3N64    3.0     64.0     0.838154                 0.823066          0.218154                      0.779252               0.0                           0.0          0.781846                      0.220748    0.029834                0.162601   0.740919               0.729575      0.788683                  0.763764        0.349492                    0.304921  294.096628           406.629269              0.789729                   0.347913                        0.0                   0.652087         8.373853e-02
L4N64    4.0     64.0     0.836297                 0.819707          0.228059                      0.760808               0.0                           0.0          0.771941                      0.239192    0.027119                0.167565   0.724159               0.741708      0.793563                  0.766028        0.336950                    0.298370  328.545316           484.994056              0.792339                   0.377214                        0.0                   0.622786         7.777169e-02
L5N64    5.0     64.0     0.835375                 0.807232          0.216906                      0.753536               0.0                           0.0          0.783093                      0.246464    0.031310                0.178456   0.743840               0.741741      0.785634                  0.755583        0.355612                    0.302279  359.543931           536.695204              0.791033                   0.322539                        0.0                   0.677461         6.649226e-02
L1N32    1.0     32.0     0.835882                 0.816655          0.223426                      0.641201               0.0                           0.0          0.776574                      0.358799    0.021211                0.161517   0.730060               0.742448      0.792195                  0.749957        0.340130                    0.337145  171.471305           282.314990              0.788884                   0.324526                        0.0                   0.675474         8.294208e-02
L2N32    2.0     32.0     0.838370                 0.819898          0.242768                      0.661001               0.0                           0.0          0.757232                      0.338999    0.028894                0.145552   0.746209               0.738759      0.787887                  0.763101        0.336055                    0.307598  230.258834           348.511997              0.776140                   0.363670                        0.0                   0.636329         1.189807e-01
L3N32    3.0     32.0     0.835790                 0.820858          0.214063                      0.704932               0.0                           0.0          0.785937                      0.295069    0.027670                0.163960   0.734871               0.742031      0.786596                  0.757195        0.347642                    0.314549  267.595260           370.955647              0.790420                   0.282102                        0.0                   0.717898         5.360077e-02
L4N32    4.0     32.0     0.833717                 0.814774          0.184198                      0.622838               0.0                           0.0          0.815802                      0.377162    0.028718                0.142321   0.727784               0.735439      0.790074                  0.758446        0.347654                    0.342497  330.123645           454.418517              0.792108                   0.371039                        0.0                   0.628961         8.144702e-02
L5N32    5.0     32.0     0.833456                 0.820417          0.256796                      0.653740               0.0                           0.0          0.743204                      0.346260    0.030858                0.151648   0.743974               0.743428      0.780473                  0.756959        0.336285                    0.343941  382.087318           496.058138              0.790650                   0.241294                        0.0                   0.758706         3.306620e-02
