       Layer  Neurons  BNNAccuracy  BNNFairTrainingAccuracy  BNNMaxDifference  BNNFairTrainingMaxDifference  BNNMinDifference  BNNFairTrainingMinDifference  BNNFairnessScore  BNNFairTrainingFairnessScore  BNNAvgDiff  BNNFairTrainingAvgDiff  BNNRecall  BNNFairTrainingRecall  BNNPrecision  BNNFairTrainingPrecision  BNNMeanEntropy  BNNFairTrainingMeanEntropy     BNNTime  BNNFairTrainingTime  BNNAdversaryAccuracy  BNNAdversaryMaxDifference  BNNAdversaryMinDifference  BNNAdversaryFairnessScore  BNNAdversaryAvgDiff
L1N4     1.0      4.0     0.812636                 0.777539          0.551509                      0.425601          0.000000                      0.000000          0.448491                      0.574399    0.196030                0.104902   0.669649               0.601448      0.684148                  0.534231        0.383087                    0.363951  219.309461           296.092869              0.759251                   0.102464               0.000000e+00                   0.897536         2.301229e-03
L2N4     2.0      4.0     0.799309                 0.771636          0.298791                      0.346678          0.000000                      0.002737          0.701210                      0.653322    0.107400                0.101444   0.625011               0.551274      0.597915                  0.572417        0.434200                    0.424339  232.598785           402.745935              0.759251                   0.008616               0.000000e+00                   0.991384         3.035618e-06
L3N4     3.0      4.0     0.779825                 0.777966          0.187826                      0.240353          0.000222                      0.000284          0.812174                      0.759647    0.070831                0.069117   0.574069               0.572379      0.511046                  0.503545        0.467675                    0.423010  331.324991           477.297316              0.759251                   0.005715               0.000000e+00                   0.994285         1.787252e-06
L4N4     4.0      4.0     0.796146                 0.759251          0.414707                      0.045815          0.000202                      0.000000          0.585293                      0.954185    0.156784                0.011587   0.631229               0.500000      0.588124                  0.379625        0.399982                    0.529678  384.629091           540.382502              0.759251                   0.000000               0.000000e+00                   1.000000         0.000000e+00
L5N4     5.0      4.0     0.779518                 0.759251          0.202807                      0.065741          0.000415                      0.000000          0.797193                      0.934259    0.060303                0.016835   0.575106               0.500000      0.503250                  0.379625        0.483720                    0.515564  408.495067           605.379432              0.759251                   0.011450               0.000000e+00                   0.988550         1.716823e-04
L1N2     1.0      2.0     0.776493                 0.759251          0.403285                      0.319718          0.000000                      0.000000          0.596715                      0.680282    0.102060                0.081938   0.602965               0.500000      0.537455                  0.379625        0.411055                    0.400536  202.194349           329.630214              0.759251                   0.010129               0.000000e+00                   0.989871         1.250406e-04
L2N2     2.0      2.0     0.765577                 0.759251          0.311272                      0.322105          0.000000                      0.000000          0.688729                      0.677895    0.068792                0.062231   0.520187               0.500000      0.424759                  0.379625        0.439588                    0.400960  271.790789           401.046186              0.759251                   0.000000               0.000000e+00                   1.000000         0.000000e+00
L3N2     3.0      2.0     0.778996                 0.762748          0.132959                      0.062803          0.000000                      0.000000          0.867041                      0.937197    0.051171                0.013169   0.568696               0.527201      0.511534                  0.417425        0.465595                    0.489165  317.362175           424.012401              0.759251                   0.000000               0.000000e+00                   1.000000         0.000000e+00
L4N2     4.0      2.0     0.764517                 0.759251          0.068108                      0.043261          0.000000                      0.000000          0.931892                      0.956739    0.019765                0.011462   0.517742               0.500000      0.422939                  0.379625        0.497686                    0.522941  380.611502           530.871320              0.759251                   0.006477               0.000000e+00                   0.993523         2.390304e-04
L5N2     5.0      2.0     0.759251                 0.759251          0.039659                      0.000148          0.000000                      0.000000          0.960341                      0.999852    0.007434                0.000023   0.500000               0.500000      0.379625                  0.379625        0.519072                    0.518257  436.507148           614.772813              0.759251                   0.000000               0.000000e+00                   1.000000         0.000000e+00
