       Layer  Neurons  BNNAccuracy  BNNFairTrainingAccuracy  BNNMaxDifference  BNNFairTrainingMaxDifference  BNNMinDifference  BNNFairTrainingMinDifference  BNNFairnessScore  BNNFairTrainingFairnessScore  BNNAvgDiff  BNNFairTrainingAvgDiff  BNNRecall  BNNFairTrainingRecall  BNNPrecision  BNNFairTrainingPrecision  BNNMeanEntropy  BNNFairTrainingMeanEntropy     BNNTime  BNNFairTrainingTime
L1N64    1.0     64.0     0.842776                 0.828957          0.887360                      0.853467          0.024187                      0.003233          0.112640                      0.146533    0.593513                0.259507   0.761882               0.742765      0.790376                  0.769472        0.340243                    0.291220  225.903214           342.509323
L2N64    2.0     64.0     0.836942                 0.824198          0.846505                      0.827584          0.013735                      0.000042          0.153495                      0.172416    0.486174                0.195564   0.718842               0.705441      0.799517                  0.773308        0.344274                    0.316633  291.893354           421.004916
L3N64    3.0     64.0     0.836942                 0.827729          0.849873                      0.836327          0.006792                      0.002030          0.150127                      0.163673    0.491607                0.192124   0.722326               0.700798      0.796885                  0.786174        0.333619                    0.303838  353.863700           379.561239
L4N64    4.0     64.0     0.833871                 0.826040          0.886611                      0.583545          0.025767                      0.071492          0.113389                      0.416455    0.619898                0.261901   0.789553               0.739973      0.772133                  0.764791        0.351233                    0.335793  411.442658           580.982544
L5N64    5.0     64.0     0.836788                 0.817903          0.767935                      0.845909          0.005021                      0.003527          0.232065                      0.154091    0.417125                0.294727   0.719612               0.757043      0.798467                  0.751023        0.350861                    0.320002  471.775935           665.659869
L1N32    1.0     32.0     0.834792                 0.819285          0.742006                      0.794224          0.017454                      0.025450          0.257994                      0.205776    0.353107                0.262253   0.715467               0.755776      0.795826                  0.752827        0.349716                    0.311760  225.574925           211.901912
L2N32    2.0     32.0     0.839245                 0.829265          0.862867                      0.859984          0.014758                      0.000008          0.137133                      0.140016    0.529031                0.203815   0.753677               0.734039      0.786139                  0.772531        0.344981                    0.323381  283.893942           414.466714
L3N32    3.0     32.0     0.836327                 0.825580          0.823721                      0.786948          0.001519                      0.054637          0.176279                      0.213052    0.507789                0.221617   0.752409               0.708093      0.780790                  0.775393        0.353871                    0.325696  338.503387           487.654679
L4N32    4.0     32.0     0.835713                 0.827883          0.847665                      0.466715          0.010503                      0.009028          0.152335                      0.533285    0.495129                0.151497   0.756578               0.700899      0.778503                  0.786558        0.348688                    0.346356  413.826592           441.717509
L5N32    5.0     32.0     0.838016                 0.828036          0.806174                      0.846696          0.000777                      0.000057          0.193826                      0.153304    0.511971                0.228075   0.731309               0.737150      0.793825                  0.769166        0.364493                    0.324841  506.426902           637.735080
