       Layer  Neurons  BNNAccuracy  BNNFairTrainingAccuracy  BNNMaxDifference  BNNFairTrainingMaxDifference  BNNMinDifference  BNNFairTrainingMinDifference  BNNFairnessScore  BNNFairTrainingFairnessScore  BNNAvgDiff  BNNFairTrainingAvgDiff  BNNRecall  BNNFairTrainingRecall  BNNPrecision  BNNFairTrainingPrecision  BNNMeanEntropy  BNNFairTrainingMeanEntropy     BNNTime  BNNFairTrainingTime
L1N16    1.0     16.0     0.831875                 0.759251          0.659847                      0.367855          0.000000                      0.000000          0.340153                      0.632145    0.398086                0.141380   0.707884               0.500000      0.793098                  0.379625        0.362510                    0.343394  218.815502           330.679085
L2N16    2.0     16.0     0.837402                 0.762322          0.798609                      0.284514          0.015881                      0.000000          0.201391                      0.715486    0.437928                0.113720   0.736784               0.506595      0.789277                  0.858108        0.345460                    0.354728  280.273035           358.404924
L3N16    3.0     16.0     0.830493                 0.759251          0.729663                      0.345040          0.058555                      0.000000          0.270337                      0.654960    0.343246                0.119984   0.718080               0.500000      0.782353                  0.379625        0.374542                    0.307438  330.820957           483.808255
L4N16    4.0     16.0     0.832949                 0.816214          0.655812                      0.710127          0.015302                      0.002680          0.344188                      0.289873    0.330783                0.265604   0.723182               0.761158      0.785691                  0.749106        0.389593                    0.326000  387.649151           554.288867
L5N16    5.0     16.0     0.831261                 0.791647          0.661010                      0.476874          0.011555                      0.003624          0.338990                      0.523126    0.304700                0.139834   0.730780               0.582527      0.777986                  0.795855        0.384071                    0.325182  461.628488           624.758711
L1N8     1.0      8.0     0.835406                 0.759251          0.728440                      0.424436          0.000000                      0.000000          0.271560                      0.575564    0.331707                0.117256   0.732639               0.500000      0.786643                  0.379625        0.349584                    0.383823  222.854233           332.932694
L2N8     2.0      8.0     0.831875                 0.759251          0.607668                      0.480740          0.000000                      0.000000          0.392332                      0.519260    0.345904                0.146384   0.713328               0.500000      0.789030                  0.379625        0.388934                    0.364067  272.725875           401.458438
L3N8     3.0      8.0     0.824812                 0.807155          0.674956                      0.966070          0.000000                      0.000142          0.325044                      0.033930    0.250324                0.322524   0.712814               0.767822      0.771086                  0.740101        0.363352                    0.269284  329.653768           378.736062
L4N8     4.0      8.0     0.821588                 0.759251          0.590059                      0.373255          0.000000                      0.000000          0.409941                      0.626745    0.230062                0.168273   0.710473               0.500000      0.764608                  0.379625        0.341393                    0.342745  383.736268           554.815088
L5N8     5.0      8.0     0.759251                 0.787963          0.013345                      0.502593          0.000000                      0.000000          0.986655                      0.497407    0.001776                0.114214   0.500000               0.730794      0.379625                  0.713999        0.545187                    0.331717  447.060678           610.824900
L1N4     1.0      4.0     0.759251                 0.759251          0.388863                      0.339599          0.000000                      0.000000          0.611137                      0.660401    0.106835                0.130093   0.500000               0.500000      0.379625                  0.379625        0.427326                    0.345857  142.375111           329.628282
L2N4     2.0      4.0     0.829879                 0.759251          0.592290                      0.368145          0.000000                      0.000000          0.407710                      0.631855    0.288388                0.125557   0.725079               0.500000      0.777328                  0.379625        0.397666                    0.367065  266.188907           397.635624
L3N4     3.0      4.0     0.833410                 0.759251          0.640936                      0.000000          0.000000                      0.000000          0.359064                      1.000000    0.247434                0.000000   0.731542               0.500000      0.782505                  0.379625        0.386830                    0.516863  321.094854           464.265758
L4N4     4.0      4.0     0.817903                 0.759251          0.705612                      0.409730          0.000000                      0.000000          0.294388                      0.590270    0.249616                0.140783   0.693238               0.500000      0.763648                  0.379625        0.428899                    0.352710  378.716225           419.914069
L5N4     5.0      4.0     0.759251                 0.759251          0.000000                      0.000000          0.000000                      0.000000          1.000000                      1.000000    0.000000                0.000000   0.500000               0.500000      0.379625                  0.379625        0.540711                    0.554418  433.815932           611.608147
L1N2     1.0      2.0     0.821434                 0.759251          0.691484                      0.000000          0.000000                      0.000000          0.308516                      1.000000    0.325894                0.000000   0.714074               0.500000      0.762902                  0.379625        0.381467                    0.513228  213.899303           324.260419
L2N2     2.0      2.0     0.813296                 0.759251          0.474723                      0.453149          0.000000                      0.000000          0.525277                      0.546851    0.165043                0.145055   0.720474               0.500000      0.745803                  0.379625        0.419498                    0.334382  266.825901           395.988153
L3N2     3.0      2.0     0.759251                 0.759251          0.387488                      0.330448          0.000000                      0.000000          0.612512                      0.669552    0.104451                0.148761   0.500000               0.500000      0.379625                  0.379625        0.421149                    0.358446  197.594249           470.137964
L4N2     4.0      2.0     0.759251                 0.759251          0.000000                      0.408685          0.000000                      0.000000          1.000000                      0.591315    0.000000                0.149376   0.500000               0.500000      0.379625                  0.379625        0.513948                    0.361362  378.118333           542.362383
L5N2     5.0      2.0     0.759251                 0.759251          0.000000                      0.430327          0.000000                      0.000000          1.000000                      0.569673    0.000000                0.128281   0.500000               0.500000      0.379625                  0.379625        0.513793                    0.379029  429.463809           612.041977
