       Layer  Neurons  BNNAccuracy  BNNFairTrainingAccuracy  BNNMaxDifference  BNNFairTrainingMaxDifference  BNNMinDifference  BNNFairTrainingMinDifference  BNNFairnessScore  BNNFairTrainingFairnessScore  BNNAvgDiff  BNNFairTrainingAvgDiff  BNNRecall  BNNFairTrainingRecall  BNNPrecision  BNNFairTrainingPrecision  BNNMeanEntropy  BNNFairTrainingMeanEntropy     BNNTime  BNNFairTrainingTime
L1N64    1.0     64.0     0.838170                 0.825273          0.723257                      0.836443          0.030410                      0.000124          0.276743                      0.163557    0.350810                0.173628   0.734459               0.697874      0.792374                  0.781068        0.358368                    0.307648  219.548274           210.144377
L2N64    2.0     64.0     0.836788                 0.827269          0.882365                      0.810864          0.019396                      0.000060          0.117635                      0.189136    0.560196                0.181380   0.755326               0.694833      0.780826                  0.789658        0.336114                    0.311144  280.107427           415.190720
L3N64    3.0     64.0     0.834485                 0.824351          0.766093                      0.454628          0.031093                      0.040430          0.233907                      0.545372    0.499779                0.186588   0.715918               0.687250      0.794591                  0.786871        0.358312                    0.340069  348.175232           483.441119
L4N64    4.0     64.0     0.838170                 0.829418          0.880711                      0.635118          0.017080                      0.029196          0.119289                      0.364882    0.521617                0.205890   0.737943               0.707355      0.790504                  0.786271        0.343354                    0.296729  401.323573           564.382741
L5N64    5.0     64.0     0.832182                 0.804545          0.811308                      0.370558          0.008397                      0.021672          0.188692                      0.629442    0.466506                0.138283   0.690229               0.612797      0.812383                  0.809759        0.329269                    0.358347  434.390546           644.644222
L1N32    1.0     32.0     0.836020                 0.822048          0.853064                      0.772232          0.015271                      0.000133          0.146936                      0.227768    0.509713                0.256328   0.720195               0.747361      0.795828                  0.757119        0.324000                    0.317609  215.531543           323.352684
L2N32    2.0     32.0     0.836327                 0.825580          0.777228                      0.859649          0.018718                      0.000000          0.222772                      0.140351    0.411656                0.210092   0.726059               0.687406      0.792684                  0.790911        0.357295                    0.242823  400.733360           404.525953
L3N32    3.0     32.0     0.838016                 0.767081          0.834610                      0.419862          0.011124                      0.000262          0.165390                      0.580138    0.491911                0.166941   0.748730               0.518223      0.785409                  0.817775        0.342985                    0.296119  326.115274           473.548450
L4N32    4.0     32.0     0.834331                 0.759251          0.748832                      0.003505          0.007842                      0.000018          0.251168                      0.996495    0.429505                0.002169   0.753054               0.500000      0.776851                  0.379625        0.371263                    0.571624  385.551607           545.962980
L5N32    5.0     32.0     0.833103                 0.759404          0.783667                      0.271013          0.012819                      0.000034          0.216333                      0.728987    0.404934                0.119040   0.744624               0.500319      0.776863                  0.879684        0.361096                    0.535313  438.043416           496.644207
L1N16    1.0     16.0     0.829879                 0.827269          0.764376                      0.776119          0.020135                      0.000232          0.235624                      0.223881    0.380449                0.226954   0.752300               0.735773      0.769137                  0.768061        0.371355                    0.337293  209.744914           321.374071
L2N16    2.0     16.0     0.837249                 0.822816          0.876016                      0.584858          0.019714                      0.008151          0.123984                      0.415142    0.490611                0.214130   0.744523               0.731316      0.785422                  0.760771        0.344502                    0.387955  267.360666           392.330616
L3N16    3.0     16.0     0.832642                 0.783663          0.669654                      0.531488          0.000131                      0.000000          0.330346                      0.468512    0.419824                0.228105   0.724504               0.757143      0.784194                  0.717638        0.417010                    0.460655  318.371717           467.291159
L4N16    4.0     16.0     0.836481                 0.825273          0.830686                      0.824979          0.013894                      0.000000          0.169314                      0.175021    0.425717                0.190707   0.744017               0.711375      0.783982                  0.772890        0.346707                    0.311519  273.640082           541.814579
L5N16    5.0     16.0     0.837402                 0.759251          0.727541                      0.244487          0.000115                      0.000000          0.272459                      0.755513    0.454540                0.088715   0.731994               0.500000      0.791863                  0.379625        0.357599                    0.495368  428.567396           608.937401
L1N8     1.0      8.0     0.759251                 0.823123          0.380136                      0.450477          0.000000                      0.000091          0.619864                      0.549523    0.115233                0.173826   0.500000               0.693845      0.379625                  0.777658        0.422100                    0.328647  210.712456           319.783131
L2N8     2.0      8.0     0.838784                 0.759251          0.872571                      0.308429          0.015442                      0.006419          0.127429                      0.691571    0.481182                0.127432   0.738565               0.500000      0.791642                  0.379625        0.325097                    0.339912  142.949541           389.013860
L3N8     3.0      8.0     0.800553                 0.759251          0.774645                      0.310915          0.000000                      0.000864          0.225355                      0.689085    0.347518                0.130766   0.661996               0.500000      0.733813                  0.379625        0.411752                    0.331057  318.026299           463.019922
L4N8     4.0      8.0     0.759251                 0.759251          0.104634                      0.463235          0.000000                      0.000015          0.895366                      0.536765    0.031311                0.165364   0.500000               0.500000      0.379625                  0.379625        0.574850                    0.313594  371.846750           531.485183
L5N8     5.0      8.0     0.794258                 0.759251          0.481939                      0.000000          0.000000                      0.000000          0.518061                      1.000000    0.238597                0.000000   0.737335               0.500000      0.721581                  0.379625        0.549211                    0.581707  424.361735           561.553380
L1N4     1.0      4.0     0.824351                 0.759251          0.737737                      0.352239          0.000000                      0.000000          0.262263                      0.647761    0.312517                0.132672   0.721657               0.500000      0.766490                  0.379625        0.365898                    0.320608  209.245667           318.664058
L2N4     2.0      4.0     0.759251                 0.759251          0.469982                      0.000000          0.000000                      0.000000          0.530018                      1.000000    0.126323                0.000000   0.500000               0.500000      0.379625                  0.379625        0.380366                    0.534609  263.845689           391.810247
L3N4     3.0      4.0     0.759251                 0.759251          0.020475                      0.011885          0.000000                      0.002808          0.979525                      0.988115    0.005426                0.009454   0.500000               0.500000      0.379625                  0.379625        0.518128                    0.510543  318.504796           460.413025
L4N4     4.0      4.0     0.759251                 0.759251          0.000000                      0.000000          0.000000                      0.000000          1.000000                      1.000000    0.000000                0.000000   0.500000               0.500000      0.379625                  0.379625        0.514641                    0.557776  299.503897           531.921662
L5N4     5.0      4.0     0.759251                 0.759251          0.004114                      0.004647          0.000000                      0.000000          0.995886                      0.995353    0.000001                0.000368   0.500000               0.500000      0.379625                  0.379625        0.587185                    0.572939  425.061794           604.370965
L1N2     1.0      2.0     0.835099                 0.759251          0.644911                      0.022017          0.000000                      0.000000          0.355089                      0.977983    0.305677                0.000359   0.743543               0.500000      0.781257                  0.379625        0.399238                    0.519180  208.698515           318.028834
