       Layer  Neurons  BNNAccuracy  BNNFairTrainingAccuracy  BNNMaxDifference  BNNFairTrainingMaxDifference  BNNMinDifference  BNNFairTrainingMinDifference  BNNFairnessScore  BNNFairTrainingFairnessScore  BNNAvgDiff  BNNFairTrainingAvgDiff  BNNRecall  BNNFairTrainingRecall  BNNPrecision  BNNFairTrainingPrecision  BNNMeanEntropy  BNNFairTrainingMeanEntropy     BNNTime  BNNFairTrainingTime
L1N64    1.0     64.0     0.840473                 0.832796          0.487085                      0.814017          0.000622                  6.708503e-04          0.512915                      0.185983    0.173512                0.185483   0.763414               0.748777      0.785478                  0.775099        0.364487                    0.314496  216.930775           326.947429
L2N64    2.0     64.0     0.839552                 0.828804          0.511240                      0.792206          0.001131                  1.885116e-03          0.488760                      0.207794    0.178128                0.189996   0.761283               0.750721      0.784352                  0.767587        0.356024                    0.329164  276.533358           290.454550
L3N64    3.0     64.0     0.836942                 0.827422          0.439653                      0.755404          0.000941                  3.359258e-03          0.560347                      0.244596    0.170230                0.185646   0.727988               0.747633      0.793084                  0.765767        0.345528                    0.306479  337.277404           481.890806
L4N64    4.0     64.0     0.835713                 0.819899          0.515101                      0.819123          0.000371                  1.490116e-06          0.484899                      0.180877    0.146255                0.236531   0.708016               0.757922      0.805194                  0.753664        0.320486                    0.308992  399.769116           561.275967
L5N64    5.0     64.0     0.830339                 0.808537          0.519820                      0.736111          0.000417                  2.799034e-04          0.480180                      0.263889    0.130310                0.243601   0.690105               0.764813      0.805309                  0.740966        0.324591                    0.346170  457.173424           518.408753
L1N32    1.0     32.0     0.840934                 0.831261          0.450237                      0.626027          0.000645                  6.516576e-04          0.549763                      0.373973    0.171799                0.144407   0.737803               0.708568      0.797346                  0.790729        0.332444                    0.288816  214.500941           324.686449
L2N32    2.0     32.0     0.837402                 0.831261          0.428548                      0.764999          0.000940                  2.474010e-03          0.571452                      0.235001    0.158955                0.199961   0.724807               0.736660      0.796411                  0.775748        0.352733                    0.298619  270.922288           398.619999
L3N32    3.0     32.0     0.837095                 0.759251          0.509291                      0.327125          0.000957                  1.172602e-03          0.490709                      0.672875    0.169414                0.068146   0.722645               0.500000      0.797087                  0.379625        0.341379                    0.402548  325.285430           469.569938
L4N32    4.0     32.0     0.838630                 0.759251          0.432630                      0.066099          0.001042                  6.914139e-06          0.567370                      0.933901    0.161638                0.019542   0.739771               0.500000      0.790664                  0.379625        0.357608                    0.523654  261.679919           545.819645
L5N32    5.0     32.0     0.834024                 0.794411          0.413076                      0.700937          0.001579                  1.192093e-07          0.586924                      0.299063    0.132067                0.227997   0.711477               0.774238      0.796703                  0.730787        0.336029                    0.314960  449.252754           619.862538
L1N16    1.0     16.0     0.836788                 0.822662          0.515741                      0.746305          0.000739                  0.000000e+00          0.484259                      0.253695    0.193552                0.170448   0.728105               0.713794      0.792612                  0.765710        0.334971                    0.319647  210.177446           231.985340
L2N16    2.0     16.0     0.832489                 0.826654          0.441908                      0.760553          0.001626                  8.056700e-03          0.558092                      0.239447    0.138621                0.197362   0.719176               0.749305      0.786871                  0.764223        0.368535                    0.338126  265.163094           390.093098
L3N16    3.0     16.0     0.833717                 0.832642          0.496551                      0.678309          0.000431                  2.650917e-03          0.503449                      0.321691    0.133684                0.174294   0.714323               0.744103      0.793563                  0.776117        0.373670                    0.324782  318.689617           467.705028
L4N16    4.0     16.0     0.830032                 0.759251          0.355615                      0.002858          0.000249                  0.000000e+00          0.644385                      0.997142    0.088012                0.000720   0.697089               0.500000      0.796720                  0.379625        0.361547                    0.539744  375.448746           535.513837
L5N16    5.0     16.0     0.831568                 0.816828          0.441572                      0.372197          0.000636                  0.000000e+00          0.558428                      0.627803    0.105688                0.090551   0.708335               0.715396      0.791819                  0.753096        0.350357                    0.383611  311.253510           606.407456
L1N8     1.0      8.0     0.824965                 0.759251          0.369149                      0.298152          0.000000                  0.000000e+00          0.630851                      0.701848    0.081610                0.067763   0.735563               0.500000      0.763787                  0.379625        0.386887                    0.355171  209.642012           324.087091
L2N8     2.0      8.0     0.837249                 0.820513          0.527785                      0.265713          0.002611                  0.000000e+00          0.472215                      0.734287    0.182764                0.057520   0.739732               0.689949      0.787494                  0.772766        0.355634                    0.351729  265.149185           405.180186
L3N8     3.0      8.0     0.832796                 0.759251          0.386440                      0.029051          0.001227                  4.771411e-03          0.613560                      0.970949    0.128089                0.014032   0.732662               0.500000      0.780609                  0.379625        0.360166                    0.553522  342.864380           370.950559
