       Layer  Neurons  BNNAccuracy  BNNFairTrainingAccuracy  BNNMaxDifference  BNNFairTrainingMaxDifference  BNNMinDifference  BNNFairTrainingMinDifference  BNNFairnessScore  BNNFairTrainingFairnessScore  BNNAvgDiff  BNNFairTrainingAvgDiff  BNNRecall  BNNFairTrainingRecall  BNNPrecision  BNNFairTrainingPrecision  BNNMeanEntropy  BNNFairTrainingMeanEntropy     BNNTime  BNNFairTrainingTime
L4N8     4.0      8.0     0.759251                 0.759251          0.008662                      0.004529          0.000000                  0.000000e+00          0.991338                      0.995471    0.002372                0.002318   0.500000               0.500000      0.379625                  0.379625        0.556059                    0.556435  391.450985           557.678218
L5N8     5.0      8.0     0.759251                 0.759251          0.000000                      0.001098          0.000000                  0.000000e+00          1.000000                      0.998902    0.000000                0.000079   0.500000               0.500000      0.379625                  0.379625        0.573187                    0.522652  444.397444           631.452603
L1N4     1.0      4.0     0.836327                 0.759251          0.438471                      0.391908          0.000000                  0.000000e+00          0.561529                      0.608092    0.134194                0.056703   0.742610               0.500000      0.784212                  0.379625        0.371042                    0.413720  220.674327           301.370341
L2N4     2.0      4.0     0.759251                 0.759251          0.329337                      0.019338          0.000000                  0.000000e+00          0.670663                      0.980662    0.054547                0.005134   0.500000               0.500000      0.379625                  0.379625        0.412200                    0.547231  275.984464           409.000886
L3N4     3.0      4.0     0.759251                 0.822662          0.000000                      0.292912          0.000000                  0.000000e+00          1.000000                      0.707088    0.000000                0.079480   0.500000               0.702906      0.379625                  0.770748        0.517895                    0.432300  331.308165           482.895324
L4N4     4.0      4.0     0.826194                 0.817135          0.438009                      0.186229          0.000000                  0.000000e+00          0.561991                      0.813771    0.113018                0.044896   0.743993               0.677271      0.764294                  0.771837        0.344782                    0.411058  387.205869           437.923566
L5N4     5.0      4.0     0.759251                 0.807616          0.000000                      0.241611          0.000000                  0.000000e+00          1.000000                      0.758389    0.000000                0.060225   0.500000               0.657283      0.379625                  0.756701        0.513841                    0.393272  443.870461           620.695519
L1N2     1.0      2.0     0.759251                 0.759251          0.323209                      0.121305          0.000000                  0.000000e+00          0.676791                      0.878695    0.040678                0.028972   0.500000               0.500000      0.379625                  0.379625        0.406240                    0.469527  227.133849           341.463040
L2N2     2.0      2.0     0.825580                 0.759251          0.362947                      0.353406          0.000000                  0.000000e+00          0.637053                      0.646594    0.066502                0.034509   0.711142               0.500000      0.773763                  0.379625        0.372623                    0.383796  274.419570           410.936581
L3N2     3.0      2.0     0.759251                 0.759251          0.345418                      0.000000          0.000000                  0.000000e+00          0.654582                      1.000000    0.055091                0.000000   0.500000               0.500000      0.379625                  0.379625        0.440668                    0.513499  239.730654           483.875404
L4N2     4.0      2.0     0.759251                 0.759251          0.000000                      0.000000          0.000000                  0.000000e+00          1.000000                      1.000000    0.000000                0.000000   0.500000               0.500000      0.379625                  0.379625        0.511823                    0.510906  384.062021           558.174237
L5N2     5.0      2.0     0.759251                 0.759251          0.280587                      0.000000          0.000000                  0.000000e+00          0.719413                      1.000000    0.054006                0.000000   0.500000               0.500000      0.379625                  0.379625        0.480769                    0.512672  440.886738           585.962598
