       BNNAccuracy  BNNAdversaryAccuracy  BNNMaxDifference  BNNAdversaryMaxDifference  BNNMinDifference  BNNAdversaryMinDifference  BNNFairnessScore  BNNAdversaryFairnessScore  BNNAvgDiff  BNNAdversaryAvgDiff
L1N64     0.837556              0.759251          0.542688                   0.032851          0.000386               0.000000e+00          0.457312                   0.967149    0.183660             0.002524
L2N64     0.839245              0.759251          0.496282                   0.030272          0.000467               0.000000e+00          0.503718                   0.969728    0.176176             0.005966
L3N64     0.835253              0.759251          0.452661                   0.010741          0.001877               1.609325e-06          0.547339                   0.989259    0.175952             0.001671
L4N64     0.834945              0.759251          0.504060                   0.001187          0.001308               0.000000e+00          0.495940                   0.998813    0.181648             0.000186
L5N64     0.833564              0.759251          0.486574                   0.000377          0.000499               0.000000e+00          0.513426                   0.999623    0.156359             0.000056
L1N32     0.836174              0.759251          0.495017                   0.084369          0.000688               0.000000e+00          0.504983                   0.915631    0.177560             0.005824
L2N32     0.838784              0.759251          0.563299                   0.016489          0.000799               0.000000e+00          0.436701                   0.983511    0.225591             0.000028
L3N32     0.830032              0.759251          0.386189                   0.013894          0.002009               1.788139e-07          0.613811                   0.986106    0.140796             0.003403
L4N32     0.831414              0.759251          0.463651                   0.001263          0.001674               3.576279e-07          0.536349                   0.998737    0.135584             0.000424
L5N32     0.829572              0.759251          0.420609                   0.007492          0.002321               4.708767e-06          0.579391                   0.992508    0.116889             0.001937
L1N16     0.828650              0.759251          0.407391                   0.054472          0.000000               0.000000e+00          0.592609                   0.945528    0.141659             0.003692
L2N16     0.828957              0.759251          0.413225                   0.032077          0.000014               1.119375e-04          0.586775                   0.967923    0.099814             0.008349
L3N16     0.832642              0.759251          0.393444                   0.015006          0.002679               1.132488e-06          0.606556                   0.984994    0.155083             0.002300
L4N16     0.824198              0.759251          0.399094                   0.004188          0.000000               0.000000e+00          0.600906                   0.995812    0.093735             0.001267
L5N16     0.810379              0.759251          0.351825                   0.006135          0.000000               1.311302e-06          0.648175                   0.993865    0.152388             0.002123
L1N8      0.833717              0.759251          0.361427                   0.007084          0.000955               0.000000e+00          0.638573                   0.992916    0.146058             0.000259
L2N8      0.832642              0.759251          0.386964                   0.018767          0.001194               0.000000e+00          0.613036                   0.981233    0.145381             0.004287
L3N8      0.828190              0.759251          0.281424                   0.001247          0.000000               5.778670e-04          0.718576                   0.998753    0.115443             0.000828
L4N8      0.820359              0.759251          0.352143                   0.000000          0.000000               0.000000e+00          0.647857                   1.000000    0.087252             0.000000
L5N8      0.824812              0.759251          0.568561                   0.000000          0.000000               0.000000e+00          0.431439                   1.000000    0.149166             0.000000
L1N4      0.828650              0.759251          0.362405                   0.034764          0.002307               4.823804e-03          0.637595                   0.965236    0.107418             0.012281
L2N4      0.831107              0.759251          0.357122                   0.033304          0.000000               0.000000e+00          0.642878                   0.966696    0.099511             0.000066
L3N4      0.826808              0.759251          0.361652                   0.000000          0.000000               0.000000e+00          0.638348                   1.000000    0.108347             0.000000
L4N4      0.710272              0.759251          0.461856                   0.000000          0.000000               0.000000e+00          0.538144                   1.000000    0.070053             0.000000
L5N4      0.759251              0.759251          0.000000                   0.001037          0.000000               0.000000e+00          1.000000                   0.998963    0.000000             0.000023
L1N2      0.759251              0.759251          0.000000                   0.000000          0.000000               0.000000e+00          1.000000                   1.000000    0.000000             0.000000
L2N2      0.759251              0.759251          0.359429                   0.012722          0.000000               0.000000e+00          0.640571                   0.987278    0.034384             0.000263
L3N2      0.759251              0.759251          0.261593                   0.016423          0.000000               0.000000e+00          0.738407                   0.983577    0.046782             0.001492
L4N2      0.759251              0.759251          0.081730                   0.000345          0.000000               0.000000e+00          0.918270                   0.999655    0.014707             0.000029
L5N2      0.759251              0.759251          0.000000                   0.000000          0.000000               0.000000e+00          1.000000                   1.000000    0.000000             0.000000
