       BNNAccuracy  BNNAdversaryAccuracy  BNNMaxDifference  BNNAdversaryMaxDifference  BNNMinDifference  BNNAdversaryMinDifference  BNNFairnessScore  BNNAdversaryFairnessScore  BNNAvgDiff  BNNAdversaryAvgDiff
L1N64     0.834331              0.759251          0.910750                   0.189794          0.047868               0.000000e+00          0.089250                   0.810206    0.603887         3.119115e-02
L2N64     0.834638              0.759251          0.893026                   0.031571          0.051156               0.000000e+00          0.106974                   0.968429    0.598148         7.324157e-03
L3N64     0.838784              0.759251          0.953162                   0.012295          0.040015               0.000000e+00          0.046838                   0.987705    0.667277         3.751756e-03
L4N64     0.836942              0.759251          0.899953                   0.003540          0.053379               1.788139e-07          0.100047                   0.996460    0.649577         4.634901e-04
L5N64     0.832489              0.759251          0.899321                   0.006359          0.031518               1.788139e-07          0.100679                   0.993641    0.590807         1.414505e-03
L1N32     0.837709              0.759251          0.938005                   0.098480          0.050930               0.000000e+00          0.061995                   0.901520    0.668890         1.469371e-02
L2N32     0.836634              0.759251          0.887187                   0.062527          0.077375               0.000000e+00          0.112813                   0.937473    0.629533         3.793839e-03
L3N32     0.836481              0.759251          0.892513                   0.006652          0.021721               0.000000e+00          0.107487                   0.993348    0.581401         7.417630e-04
L4N32     0.834024              0.759251          0.927422                   0.033474          0.025832               6.556511e-07          0.072578                   0.966526    0.628090         4.979575e-03
L5N32     0.828036              0.759251          0.845962                   0.000867          0.057270               0.000000e+00          0.154038                   0.999133    0.582102         6.402699e-05
L1N16     0.835406              0.759251          0.914857                   0.157052          0.025998               0.000000e+00          0.085143                   0.842948    0.561924         1.170314e-02
L2N16     0.826501              0.759251          0.766528                   0.025838          0.000000               7.732391e-03          0.233472                   0.974162    0.473610         1.474801e-02
L3N16     0.829725              0.759251          0.820884                   0.049773          0.000000               0.000000e+00          0.179116                   0.950227    0.471724         1.943016e-02
L4N16     0.822048              0.759251          0.717457                   0.006022          0.000000               0.000000e+00          0.282543                   0.993978    0.413287         2.857239e-03
L5N16     0.832028              0.759251          0.798705                   0.003630          0.054438               0.000000e+00          0.201295                   0.996370    0.512576         4.321125e-04
L1N8      0.824965              0.759251          0.751497                   0.153067          0.059443               0.000000e+00          0.248503                   0.846933    0.448903         7.946768e-02
L2N8      0.838323              0.759251          0.810238                   0.001300          0.000000               0.000000e+00          0.189762                   0.998700    0.579606         6.423063e-05
L3N8      0.759251              0.759251          0.004114                   0.029072          0.000000               1.251698e-06          0.995886                   0.970928    0.000036         7.054573e-03
L4N8      0.759251              0.759251          0.365005                   0.029199          0.000000               0.000000e+00          0.634995                   0.970801    0.145093         6.068567e-03
L5N8      0.759251              0.759251          0.000000                   0.000000          0.000000               0.000000e+00          1.000000                   1.000000    0.000000         0.000000e+00
L1N4      0.801781              0.759251          0.626981                   0.000000          0.000000               0.000000e+00          0.373019                   1.000000    0.277988         0.000000e+00
L2N4      0.759251              0.759251          0.359397                   0.066667          0.000000               0.000000e+00          0.640603                   0.933333    0.167376         2.760204e-03
L3N4      0.759251              0.759251          0.000000                   0.000000          0.000000               0.000000e+00          1.000000                   1.000000    0.000000         0.000000e+00
L4N4      0.759251              0.759251          0.379301                   0.004927          0.000000               0.000000e+00          0.620699                   0.995073    0.153810         7.564747e-07
L5N4      0.759251              0.759251          0.000000                   0.015515          0.000000               0.000000e+00          1.000000                   0.984485    0.000000         1.068654e-02
L1N2      0.759251              0.759251          0.426856                   0.160267          0.000000               0.000000e+00          0.573144                   0.839733    0.165004         1.121705e-01
L2N2      0.817135              0.759251          0.534688                   0.000000          0.000000               0.000000e+00          0.465312                   1.000000    0.219924         0.000000e+00
L3N2      0.759251              0.759251          0.355225                   0.006335          0.000000               0.000000e+00          0.644775                   0.993665    0.129897         6.453482e-04
L4N2      0.759251              0.759251          0.448090                   0.000000          0.000000               0.000000e+00          0.551910                   1.000000    0.167008         0.000000e+00
L5N2      0.759251              0.759251          0.000000                   0.000000          0.000000               0.000000e+00          1.000000                   1.000000    0.000000         0.000000e+00
