       Layer  Neurons  BNNAccuracy  BNNFairTrainingAccuracy  BNNMaxDifference  BNNFairTrainingMaxDifference  BNNMinDifference  BNNFairTrainingMinDifference  BNNFairnessScore  BNNFairTrainingFairnessScore  BNNAvgDiff  BNNFairTrainingAvgDiff  BNNRecall  BNNFairTrainingRecall  BNNPrecision  BNNFairTrainingPrecision  BNNMeanEntropy  BNNFairTrainingMeanEntropy     BNNTime  BNNFairTrainingTime
L1N64    1.0     64.0     0.840012                 0.824351          0.926520                      0.829295          0.041087                      0.000200          0.073480                      0.170705    0.628538                0.256024   0.756796               0.738207      0.786612                  0.762138        0.359884                    0.301576  237.436252           323.994453
L2N64    2.0     64.0     0.839398                 0.822509          0.931125                      0.782663          0.030635                      0.000016          0.068875                      0.217337    0.635178                0.233795   0.745721               0.715870      0.789608                  0.764588        0.346901                    0.278360  294.365266           437.129331
L3N64    3.0     64.0     0.835867                 0.824658          0.908358                      0.788358          0.031343                      0.000068          0.091642                      0.211642    0.597723                0.215374   0.725103               0.701389      0.792075                  0.776936        0.326360                    0.303153  381.781340           508.292285
L4N64    4.0     64.0     0.839552                 0.820820          0.923121                      0.515820          0.029030                      0.028368          0.076879                      0.484180    0.628669                0.187704   0.721432               0.672947      0.805221                  0.788766        0.323875                    0.304451  348.080133           590.364678
L5N64    5.0     64.0     0.838323                 0.826194          0.852948                      0.738152          0.066223                      0.019648          0.147052                      0.261848    0.625368                0.221444   0.731076               0.714377      0.794760                  0.773651        0.364640                    0.328772  474.416871           670.477561
L1N32    1.0     32.0     0.840780                 0.819285          0.913347                      0.693931          0.058739                      0.000281          0.086653                      0.306069    0.683247                0.247012   0.738791               0.757082      0.796380                  0.752837        0.349368                    0.366908  223.421816           216.261347
L2N32    2.0     32.0     0.840934                 0.799017          0.928727                      0.450801          0.058979                      0.000003          0.071273                      0.549199    0.691855                0.180573   0.739981               0.607632      0.796080                  0.783310        0.335138                    0.320132  281.807872           439.187299
L3N32    3.0     32.0     0.835099                 0.826654          0.860132                      0.875322          0.037963                      0.000157          0.139868                      0.124678    0.568321                0.247270   0.748334               0.731449      0.779641                  0.768079        0.352530                    0.353149  350.091691           507.839224
L4N32    4.0     32.0     0.829111                 0.759251          0.749935                      0.311918          0.038325                      0.000002          0.250065                      0.688082    0.461317                0.136338   0.713250               0.500000      0.781589                  0.379625        0.370455                    0.370455  407.515911           525.509489
L5N32    5.0     32.0     0.832182                 0.759404          0.869713                      0.352556          0.000000                      0.012375          0.130287                      0.647444    0.564710                0.165806   0.721587               0.500319      0.784653                  0.879684        0.336692                    0.322136  451.443571           638.532094
L1N16    1.0     16.0     0.834331                 0.759251          0.890593                      0.388646          0.042943                      0.000000          0.109407                      0.611354    0.558114                0.164749   0.758063               0.500000      0.775701                  0.379625        0.358782                    0.299146  229.143394           338.589511
L2N16    2.0     16.0     0.830032                 0.759251          0.805613                      0.449283          0.032914                      0.000000          0.194387                      0.550717    0.477357                0.158332   0.738246               0.500000      0.772746                  0.379625        0.391328                    0.317378  174.321753           407.740492
L3N16    3.0     16.0     0.834024                 0.822355          0.911189                      0.887280          0.026740                      0.000000          0.088811                      0.112720    0.571150                0.249259   0.727591               0.747999      0.785934                  0.757537        0.342394                    0.365542  332.548436           483.489362
L4N16    4.0     16.0     0.822202                 0.776140          0.785848                      0.402194          0.069938                      0.000055          0.214152                      0.597806    0.429502                0.121803   0.674075               0.549014      0.792807                  0.754471        0.367938                    0.359808  389.999870           563.665096
L5N16    5.0     16.0     0.759251                 0.786427          0.019435                      0.431572          0.000039                      0.000000          0.980565                      0.568428    0.012305                0.116099   0.500000               0.577347      0.379625                  0.764531        0.532579                    0.494664  329.100385           629.877011
L1N8     1.0      8.0     0.833717                 0.759251          0.913680                      0.462979          0.082129                      0.000000          0.086320                      0.537021    0.633706                0.183165   0.749819               0.500000      0.776550                  0.379625        0.358904                    0.325312  219.725556           334.503684
L2N8     2.0      8.0     0.827576                 0.759251          0.796891                      0.417157          0.063967                      0.000000          0.203109                      0.582843    0.453623                0.208339   0.737282               0.500000      0.768250                  0.379625        0.362286                    0.315995  277.295817           411.645773
L3N8     3.0      8.0     0.827729                 0.826347          0.732818                      0.456627          0.000000                      0.011598          0.267182                      0.543373    0.404357                0.198564   0.711687               0.709470      0.778905                  0.776598        0.369483                    0.328050  336.445558           360.337150
L4N8     4.0      8.0     0.833564                 0.772148          0.758376                      0.464423          0.000000                      0.000538          0.241624                      0.535577    0.476112                0.099146   0.739919               0.535496      0.779378                  0.764330        0.385689                    0.368881  405.086508           563.619956
L5N8     5.0      8.0     0.829879                 0.759251          0.753569                      0.366604          0.000000                      0.000000          0.246431                      0.633396    0.403435                0.128357   0.760793               0.500000      0.767918                  0.379625        0.404740                    0.371173  455.840846           541.157538
L1N4     1.0      4.0     0.820052                 0.824351          0.622928                      0.740401          0.000000                      0.000000          0.377072                      0.259599    0.277950                0.241055   0.732327               0.732110      0.755667                  0.763445        0.400055                    0.335180  221.945253           335.310690
L2N4     2.0      4.0     0.839398                 0.759251          0.932088                      0.000000          0.000000                      0.000000          0.067912                      1.000000    0.640253                0.000000   0.744632               0.500000      0.790099                  0.379625        0.366779                    0.514877  273.738326           403.902041
L3N4     3.0      4.0     0.759251                 0.759251          0.455219                      0.000000          0.000000                      0.000000          0.544781                      1.000000    0.187560                0.000000   0.500000               0.500000      0.379625                  0.379625        0.396035                    0.514605  330.377074           479.335150
