       BNNAccuracy  BNNAdversaryAccuracy  BNNMaxDifference  BNNAdversaryMaxDifference  BNNMinDifference  BNNAdversaryMinDifference  BNNFairnessScore  BNNAdversaryFairnessScore    BNNAvgDiff  BNNAdversaryAvgDiff
L1N64     0.843083              0.822355          0.495992                   0.801383          0.000469                   0.002043          0.504008                   0.198617  1.731562e-01             0.232325
L2N64     0.842315              0.826347          0.415001                   0.752908          0.001018                   0.001537          0.584999                   0.247092  1.688812e-01             0.176348
L3N64     0.841701              0.827576          0.481056                   0.782639          0.000925                   0.001835          0.518944                   0.217361  1.740797e-01             0.205060
L4N64     0.836634              0.810840          0.485056                   0.826663          0.000520                   0.002747          0.514944                   0.173337  1.870606e-01             0.255572
L5N64     0.837249              0.825733          0.346391                   0.603545          0.000697                   0.000040          0.653609                   0.396455  1.376150e-01             0.130160
L1N32     0.837556              0.815139          0.432437                   0.601903          0.000974                   0.004565          0.567563                   0.398097  1.683059e-01             0.215713
L2N32     0.837863              0.810379          0.506951                   0.726474          0.000979                   0.001420          0.493049                   0.273526  1.838012e-01             0.233798
L3N32     0.831107              0.825733          0.327631                   0.810599          0.001853                   0.002875          0.672369                   0.189401  1.183688e-01             0.174478
L4N32     0.836020              0.829418          0.472223                   0.589780          0.001586                   0.000159          0.527777                   0.410220  1.753809e-01             0.140619
L5N32     0.783663              0.826194          0.304661                   0.786261          0.002927                   0.000115          0.695339                   0.213739  7.826088e-02             0.189858
L1N16     0.834638              0.821741          0.368035                   0.677393          0.003291                   0.008113          0.631965                   0.322607  1.492721e-01             0.170002
L2N16     0.832335              0.827422          0.393308                   0.644820          0.002662                   0.001456          0.606692                   0.355180  1.338432e-01             0.162999
L3N16     0.829725              0.769077          0.388422                   0.447647          0.000469                   0.000000          0.611578                   0.552353  1.213022e-01             0.087191
L4N16     0.828190              0.825273          0.527378                   0.600371          0.001792                   0.002166          0.472622                   0.399629  1.204888e-01             0.151276
L5N16     0.828497              0.821434          0.351781                   0.467824          0.000012                   0.000000          0.648219                   0.532176  9.968172e-02             0.131457
L1N8      0.824965              0.828497          0.348238                   0.637046          0.000000                   0.000686          0.651762                   0.362954  9.673712e-02             0.177213
L2N8      0.836327              0.807001          0.380974                   0.290955          0.000634                   0.000000          0.619026                   0.709045  1.521624e-01             0.068736
L3N8      0.828650              0.759251          0.357585                   0.051043          0.000000                   0.000000          0.642415                   0.948957  9.161046e-02             0.023619
L4N8      0.830186              0.813604          0.354641                   0.388059          0.000004                   0.001418          0.645359                   0.611941  1.329466e-01             0.083399
L5N8      0.759251              0.759251          0.000000                   0.002547          0.000000                   0.000000          1.000000                   0.997453  0.000000e+00             0.000336
L1N4      0.839552              0.825273          0.425169                   0.265517          0.000000                   0.002262          0.574831                   0.734483  1.640677e-01             0.087540
L2N4      0.759251              0.809304          0.000000                   0.187911          0.000000                   0.000000          1.000000                   0.812089  0.000000e+00             0.031044
L3N4      0.832642              0.759251          0.472099                   0.032576          0.000888                   0.000000          0.527901                   0.967424  1.507967e-01             0.000163
L4N4      0.759251              0.759251          0.000291                   0.000000          0.000000                   0.000000          0.999709                   1.000000  8.365516e-08             0.000000
L5N4      0.832028              0.759251          0.362493                   0.000000          0.000000                   0.000000          0.637507                   1.000000  1.462948e-01             0.000000
L1N2      0.831414              0.808537          0.310217                   0.275501          0.000000                   0.000000          0.689783                   0.724499  1.290594e-01             0.056993
L2N2      0.759251              0.759251          0.259078                   0.000000          0.000000                   0.000000          0.740922                   1.000000  4.630486e-02             0.000000
L3N2      0.759251              0.759251          0.000000                   0.000000          0.000000                   0.000000          1.000000                   1.000000  0.000000e+00             0.000000
L4N2      0.759251              0.759251          0.000000                   0.000000          0.000000                   0.000000          1.000000                   1.000000  0.000000e+00             0.000000
L5N2      0.759251              0.759251          0.000000                   0.000000          0.000000                   0.000000          1.000000                   1.000000  0.000000e+00             0.000000
