       BNNAccuracy  BNNAdversaryAccuracy  BNNMaxDifference  BNNAdversaryMaxDifference  BNNMinDifference  BNNAdversaryMinDifference  BNNFairnessScore  BNNAdversaryFairnessScore  BNNAvgDiff  BNNAdversaryAvgDiff  BNNRecall  BNNAdversaryRecall  BNNPrecision  BNNAdversaryPrecision  BNNMeanEntropy  BNNAdversaryMeanEntropy
L1N64     0.840780              0.807923          0.777222                   0.839991          0.014490                   0.000674          0.222778                   0.160009    0.450483             0.281116   0.743146            0.750471      0.794002               0.738360        0.360236                 0.251075
L2N64     0.835099              0.822509          0.890516                   0.779036          0.026348                   0.005679          0.109484                   0.220964    0.624953             0.241263   0.715233            0.734598      0.796913               0.759560        0.344090                 0.309912
L3N64     0.834792              0.759404          0.740415                   0.301051          0.017302                   0.001595          0.259585                   0.698949    0.402972             0.119190   0.746607            0.500319      0.779582               0.879684        0.381145                 0.333609
L4N64     0.836327              0.823277          0.796137                   0.743426          0.027822                   0.002297          0.203863                   0.256574    0.510553             0.265963   0.731939            0.740766      0.789231               0.759856        0.375263                 0.340842
L5N64     0.839859              0.798864          0.781188                   0.660263          0.000003                   0.006177          0.218812                   0.339737    0.475198             0.308078   0.747113            0.755394      0.790013               0.729704        0.381572                 0.327660
L1N32     0.836327              0.827115          0.823082                   0.818081          0.015512                   0.009763          0.176918                   0.181919    0.461444             0.205902   0.753280            0.731752      0.780534               0.768907        0.356795                 0.366469
L2N32     0.831721              0.824658          0.859350                   0.824810          0.016375                   0.015623          0.140650                   0.175190    0.470954             0.225802   0.745020            0.739063      0.774074               0.762518        0.349107                 0.295956
L3N32     0.832642              0.759251          0.796308                   0.370831          0.035599                   0.000043          0.203692                   0.629169    0.532127             0.134823   0.752160            0.500000      0.773994               0.379625        0.367402                 0.394161
L4N32     0.831721              0.826347          0.843006                   0.623522          0.012014                   0.039782          0.156994                   0.376478    0.414165             0.233361   0.741318            0.716874      0.775152               0.772842        0.348577                 0.341540
L5N32     0.832949              0.759251          0.521665                   0.210505          0.008109                   0.000004          0.478335                   0.789495    0.278590             0.100907   0.720351            0.500000      0.787360               0.379625        0.374731                 0.500217
L1N16     0.835867              0.759251          0.817036                   0.436740          0.002676                   0.000000          0.182964                   0.563260    0.410312             0.137083   0.729023            0.500000      0.789714               0.379625        0.353339                 0.354047
L2N16     0.836174              0.788270          0.816882                   0.329988          0.015904                   0.000000          0.183118                   0.670012    0.438865             0.149597   0.740113            0.572245      0.784916               0.801493        0.354868                 0.349839
L3N16     0.834485              0.828190          0.823118                   0.492168          0.018128                   0.000000          0.176882                   0.507832    0.447813             0.147323   0.742267            0.706546      0.780444               0.783355        0.374925                 0.357507
L4N16     0.833564              0.759251          0.701940                   0.049737          0.016539                   0.005487          0.298060                   0.950263    0.335251             0.031662   0.721191            0.500000      0.788455               0.379625        0.355126                 0.553699
L5N16     0.824965              0.759251          0.599664                   0.003535          0.000002                   0.000000          0.400336                   0.996465    0.238158             0.001381   0.699414            0.500000      0.779097               0.379625        0.412447                 0.523946
L1N8      0.832796              0.759251          0.832150                   0.430982          0.015269                   0.000000          0.167850                   0.569018    0.420963             0.141023   0.746164            0.500000      0.775810               0.379625        0.355440                 0.342691
L2N8      0.835253              0.759251          0.836273                   0.399108          0.013303                   0.000000          0.163727                   0.600892    0.467226             0.119004   0.736675            0.500000      0.784366               0.379625        0.359396                 0.350253
L3N8      0.833103              0.759251          0.692324                   0.201660          0.010559                   0.000000          0.307676                   0.798340    0.361467             0.096886   0.718710            0.500000      0.788799               0.379625        0.358054                 0.429198
L4N8      0.816828              0.759251          0.578568                   0.000000          0.000000                   0.000000          0.421432                   1.000000    0.244640             0.000000   0.740003            0.500000      0.749709               0.379625        0.399930                 0.590994
L5N8      0.759251              0.759251          0.430320                   0.339709          0.000001                   0.000000          0.569680                   0.660291    0.172163             0.142466   0.500000            0.500000      0.379625               0.379625        0.412300                 0.405611
L1N4      0.831107              0.759251          0.729909                   0.424145          0.000000                   0.000000          0.270091                   0.575855    0.354940             0.164327   0.712387            0.500000      0.787533               0.379625        0.383300                 0.394258
L2N4      0.759251              0.823277          0.329288                   0.493335          0.000000                   0.000000          0.670712                   0.506665    0.097114             0.173589   0.500000            0.708972      0.379625               0.769211        0.420628                 0.383674
L3N4      0.828343              0.759251          0.610146                   0.033925          0.000000                   0.000000          0.389854                   0.966075    0.246218             0.008163   0.714269            0.500000      0.779023               0.379625        0.359022                 0.549964
L4N4      0.759251              0.759251          0.357655                   0.364437          0.000000                   0.000000          0.642345                   0.635563    0.108548             0.124979   0.500000            0.500000      0.379625               0.379625        0.436705                 0.371412
L5N4      0.759251              0.759251          0.000847                   0.000000          0.000000                   0.000000          0.999153                   1.000000    0.000060             0.000000   0.500000            0.500000      0.379625               0.379625        0.584223                 0.582054
L1N2      0.759251              0.759251          0.418913                   0.000000          0.000000                   0.000000          0.581087                   1.000000    0.120280             0.000000   0.500000            0.500000      0.379625               0.379625        0.415815                 0.513474
L2N2      0.759251              0.759251          0.000000                   0.000000          0.000000                   0.000000          1.000000                   1.000000    0.000000             0.000000   0.500000            0.500000      0.379625               0.379625        0.513758                 0.512898
L3N2      0.826347              0.759251          0.543281                   0.000000          0.000000                   0.000000          0.456719                   1.000000    0.237977             0.000000   0.721011            0.500000      0.771066               0.379625        0.394248                 0.513045
