       Layer  Neurons  BNNAccuracy  BNNFairTrainingAccuracy  BNNMaxDifference  BNNFairTrainingMaxDifference  BNNMinDifference  BNNFairTrainingMinDifference  BNNFairnessScore  BNNFairTrainingFairnessScore  BNNAvgDiff  BNNFairTrainingAvgDiff  BNNRecall  BNNFairTrainingRecall  BNNPrecision  BNNFairTrainingPrecision  BNNMeanEntropy  BNNFairTrainingMeanEntropy     BNNTime  BNNFairTrainingTime
L1N64    1.0     64.0     0.836020                 0.833717          0.712219                      0.883259          0.002621                      0.002575          0.287781                      0.116741    0.334583                0.197215   0.748940               0.733051      0.781271                  0.782518        0.344030                    0.268515  107.634497           344.123109
L2N64    2.0     64.0     0.837249                 0.829572          0.655989                      0.773249          0.004536                      0.000185          0.344011                      0.226751    0.312549                0.182906   0.750838               0.713989      0.783096                  0.782355        0.353814                    0.309463  295.318274           432.776283
L3N64    3.0     64.0     0.837709                 0.829418          0.768614                      0.701783          0.002950                      0.008280          0.231386                      0.298217    0.372592                0.206753   0.726969               0.705395      0.795777                  0.787701        0.324647                    0.283540  353.018904           578.299514
L4N64    4.0     64.0     0.835560                 0.825273          0.683356                      0.423784          0.002876                      0.023844          0.316644                      0.576216    0.317047                0.205885   0.716190               0.724223      0.797524                  0.767552        0.329573                    0.329023  324.734105           596.336452
L5N64    5.0     64.0     0.831107                 0.790726          0.755432                      0.729513          0.002953                      0.010028          0.244568                      0.270487    0.357119                0.311805   0.773796               0.765278      0.768714                  0.725356        0.363088                    0.358506  483.875959           673.758623
L1N32    1.0     32.0     0.835713                 0.826961          0.619092                      0.813146          0.000246                      0.000000          0.380908                      0.186854    0.275393                0.238006   0.717162               0.749290      0.797218                  0.764732        0.351554                    0.304764  230.558585           354.498594
L2N32    2.0     32.0     0.838938                 0.814985          0.768797                      0.813140          0.004602                      0.007094          0.231203                      0.186860    0.397738                0.273381   0.744764               0.759695      0.789010                  0.747520        0.339249                    0.314772  207.717375           426.446059
L3N32    3.0     32.0     0.838016                 0.830800          0.716481                      0.755793          0.002798                      0.000204          0.283519                      0.244207    0.346473                0.189050   0.750473               0.716104      0.784773                  0.784306        0.342719                    0.326583  353.550139           514.536625
L4N32    4.0     32.0     0.838016                 0.830186          0.744548                      0.531084          0.004402                      0.012471          0.255452                      0.468916    0.371165                0.159861   0.741544               0.711562      0.788399                  0.785537        0.336572                    0.406932  410.053791           590.338534
L5N32    5.0     32.0     0.830646                 0.829725          0.594693                      0.631386          0.004792                      0.006006          0.405307                      0.368614    0.231310                0.181563   0.707510               0.739351      0.789723                  0.771818        0.356359                    0.388485  349.316286           661.614602
L1N16    1.0     16.0     0.838784                 0.759251          0.733730                      0.359391          0.003341                      0.000000          0.266270                      0.640609    0.357534                0.092802   0.749454               0.500000      0.786739                  0.379625        0.339949                    0.361926  236.339472           349.718377
L2N16    2.0     16.0     0.836942                 0.828036          0.701211                      0.555752          0.006824                      0.001153          0.298789                      0.444248    0.338407                0.191793   0.732561               0.735843      0.790399                  0.769528        0.351123                    0.331524  289.127967           431.101651
L3N16    3.0     16.0     0.830646                 0.823277          0.642362                      0.379055          0.003806                      0.000000          0.357638                      0.620945    0.246652                0.128021   0.725803               0.715941      0.778772                  0.766244        0.359776                    0.402299  224.995712           498.632185
L4N16    4.0     16.0     0.823737                 0.806080          0.595625                      0.483542          0.003932                      0.022401          0.404375                      0.516458    0.204499                0.132393   0.712542               0.631447      0.768680                  0.779358        0.376990                    0.406989  405.007784           570.958688
L5N16    5.0     16.0     0.829418                 0.823891          0.488711                      0.593275          0.004100                      0.000038          0.511289                      0.406725    0.181237                0.153989   0.706484               0.715256      0.786898                  0.767886        0.334905                    0.390475  462.461518           550.802183
L1N8     1.0      8.0     0.834485                 0.759251          0.623122                      0.367873          0.008049                      0.000000          0.376878                      0.632127    0.280216                0.104294   0.716353               0.500000      0.794267                  0.379625        0.357730                    0.333570  229.697349           345.239835
L2N8     2.0      8.0     0.833871                 0.759251          0.613810                      0.374828          0.006930                      0.000000          0.386190                      0.625172    0.270944                0.085708   0.719433               0.500000      0.790400                  0.379625        0.354937                    0.366760  292.242568           420.579357
L3N8     3.0      8.0     0.838477                 0.759251          0.728796                      0.005188          0.000210                      0.000000          0.271204                      0.994812    0.345552                0.000011   0.743807               0.500000      0.788410                  0.379625        0.346279                    0.595981  339.918156           489.658580
L4N8     4.0      8.0     0.835406                 0.759251          0.699494                      0.271295          0.007068                      0.000000          0.300506                      0.728705    0.317388                0.069079   0.715436               0.500000      0.797665                  0.379625        0.351433                    0.396456  298.231924           564.230283
L5N8     5.0      8.0     0.759251                 0.759251          0.000000                      0.000000          0.000000                      0.000000          1.000000                      1.000000    0.000000                0.000000   0.500000               0.500000      0.379625                  0.379625        0.587093                    0.584716  454.676365           637.000944
L1N4     1.0      4.0     0.796561                 0.759251          0.476879                      0.414329          0.000000                      0.000000          0.523121                      0.585671    0.145564                0.121550   0.625613               0.500000      0.743971                  0.379625        0.391748                    0.358016  223.363399           350.251251
L2N4     2.0      4.0     0.824351                 0.759251          0.411216                      0.014117          0.000000                      0.000000          0.588784                      0.985883    0.164563                0.002305   0.694654               0.500000      0.780711                  0.379625        0.364160                    0.549190  273.475144           411.995039
L3N4     3.0      4.0     0.759251                 0.828650          0.000000                      0.360003          0.000000                      0.000000          1.000000                      0.639997    0.000000                0.143123   0.500000               0.726448      0.379625                  0.773986        0.549811                    0.357550  331.790576           483.805909
L4N4     4.0      4.0     0.811300                 0.759251          0.457080                      0.000000          0.000000                      0.000000          0.542920                      1.000000    0.152772                0.000000   0.725257               0.500000      0.742122                  0.379625        0.413097                    0.566555  387.659202           497.138718
L5N4     5.0      4.0     0.759251                 0.759251          0.000000                      0.011782          0.000000                      0.000000          1.000000                      0.988218    0.000000                0.004854   0.500000               0.500000      0.379625                  0.379625        0.520403                    0.538557  446.304849           625.070185
L1N2     1.0      2.0     0.794104                 0.759251          0.516356                      0.382230          0.000000                      0.000000          0.483644                      0.617770    0.122758                0.115687   0.723732               0.500000      0.719124                  0.379625        0.349929                    0.372747  219.681335           330.796053
L2N2     2.0      2.0     0.759251                 0.759251          0.390289                      0.421270          0.000000                      0.000000          0.609711                      0.578730    0.067809                0.061930   0.500000               0.500000      0.379625                  0.379625        0.408335                    0.360126  271.635043           401.929916
