       Layer  Neurons  BNNAccuracy  BNNFairTrainingAccuracy  BNNMaxDifference  BNNFairTrainingMaxDifference  BNNMinDifference  BNNFairTrainingMinDifference  BNNFairnessScore  BNNFairTrainingFairnessScore  BNNAvgDiff  BNNFairTrainingAvgDiff  BNNRecall  BNNFairTrainingRecall  BNNPrecision  BNNFairTrainingPrecision  BNNMeanEntropy  BNNFairTrainingMeanEntropy     BNNTime  BNNFairTrainingTime
L1N64    1.0     64.0     0.833410                 0.812682          0.240988                      0.735520               0.0                           0.0          0.759012                      0.264480    0.019875                0.193371   0.705193               0.767107      0.800266                  0.745662        0.343421                    0.313243  225.397951           336.375902
L2N64    2.0     64.0     0.839552                 0.829418          0.224198                      0.726173               0.0                           0.0          0.775802                      0.273827    0.025173                0.140279   0.737764               0.724340      0.793929                  0.776600        0.333625                    0.297223  284.991815           416.892757
L3N64    3.0     64.0     0.838170                 0.815600          0.232908                      0.830476               0.0                           0.0          0.767092                      0.169524    0.038018                0.170916   0.742734               0.732879      0.788204                  0.748295        0.361389                    0.255829  344.773330           496.114379
L4N64    4.0     64.0     0.835867                 0.830493          0.204839                      0.836447               0.0                           0.0          0.795161                      0.163553    0.018772                0.142284   0.717045               0.714378      0.797759                  0.784556        0.321625                    0.303048  289.568755           576.768414
L5N64    5.0     64.0     0.828343                 0.787195          0.179617                      0.513512               0.0                           0.0          0.820383                      0.486488    0.019869                0.035104   0.682475               0.568053      0.806936                  0.808669        0.319178                    0.320994  471.812583           651.429366
L1N32    1.0     32.0     0.839705                 0.813757          0.149490                      0.676760               0.0                           0.0          0.850510                      0.323240    0.024084                0.155825   0.744834               0.737763      0.790697                  0.745285        0.348823                    0.336844  220.939856           334.287954
L2N32    2.0     32.0     0.840934                 0.818670          0.227629                      0.727998               0.0                           0.0          0.772371                      0.272002    0.035414                0.177111   0.745425               0.760598      0.793216                  0.752126        0.325611                    0.305179  243.207479           420.564513
L3N32    3.0     32.0     0.836942                 0.821127          0.297479                      0.581201               0.0                           0.0          0.702521                      0.418799    0.027522                0.146936   0.734303               0.730204      0.789459                  0.757929        0.327655                    0.333893  331.953196           483.584806
L4N32    4.0     32.0     0.830800                 0.774144          0.193332                      0.582857               0.0                           0.0          0.806668                      0.417143    0.048030                0.225734   0.755737               0.768731      0.770104                  0.715853        0.372882                    0.391553  385.560455           548.995097
L5N32    5.0     32.0     0.836327                 0.823430          0.140659                      0.739378               0.0                           0.0          0.859341                      0.260622    0.022673                0.175439   0.733681               0.748053      0.788308                  0.759199        0.334597                    0.288898  446.616978           622.360926
L1N16    1.0     16.0     0.831107                 0.812836          0.148326                      0.439105               0.0                           0.0          0.851674                      0.560895    0.012784                0.129861   0.739390               0.739988      0.774531                  0.743962        0.380767                    0.377367  212.110556           326.841545
L2N16    2.0     16.0     0.834945                 0.817288          0.215877                      0.244130               0.0                           0.0          0.784123                      0.755870    0.025449                0.044316   0.740829               0.719401      0.781955                  0.753080        0.377716                    0.368989  267.801902           362.814350
L3N16    3.0     16.0     0.834792                 0.811761          0.238259                      0.725738               0.0                           0.0          0.761741                      0.274262    0.022187                0.191804   0.719604               0.744942      0.792809                  0.742632        0.353779                    0.336733  323.562459           469.544730
L4N16    4.0     16.0     0.829418                 0.759251          0.127372                      0.005733               0.0                           0.0          0.872628                      0.994267    0.026970                0.000062   0.756134               0.500000      0.767771                  0.379625        0.371755                    0.552823  378.520744           541.279711
L5N16    5.0     16.0     0.830800                 0.823584          0.177285                      0.136497               0.0                           0.0          0.822715                      0.863503    0.022106                0.020118   0.695416               0.701988      0.801066                  0.773666        0.379438                    0.399650  431.128487           492.232857
L1N8     1.0      8.0     0.830493                 0.821895          0.240246                      0.140689               0.0                           0.0          0.759754                      0.859311    0.021224                0.013262   0.723742               0.696738      0.779385                  0.772265        0.349540                    0.383685  211.607476           322.722803
L2N8     2.0      8.0     0.833410                 0.826347          0.137131                      0.384313               0.0                           0.0          0.862869                      0.615687    0.015682                0.049366   0.727840               0.697057      0.784312                  0.784904        0.354526                    0.393840  265.501822           392.840159
L3N8     3.0      8.0     0.834331                 0.825119          0.134131                      0.304578               0.0                           0.0          0.865869                      0.695422    0.029872                0.031956   0.735851               0.730002      0.782662                  0.765464        0.351589                    0.375105  322.550933           464.273434
L4N8     4.0      8.0     0.816060                 0.824198          0.173227                      0.528442               0.0                           0.0          0.826773                      0.471558    0.023024                0.106783   0.741022               0.712192      0.748531                  0.769916        0.401809                    0.323883  252.884962           535.097539
L5N8     5.0      8.0     0.759251                 0.821895          0.193386                      0.205360               0.0                           0.0          0.806614                      0.794640    0.017794                0.039254   0.500000               0.710022      0.379625                  0.765495        0.431833                    0.391727  427.068079           611.404303
L1N4     1.0      4.0     0.836020                 0.759251          0.158895                      0.151569               0.0                           0.0          0.841105                      0.848431    0.015243                0.012188   0.740012               0.500000      0.784620                  0.379625        0.392415                    0.444554  212.825438           319.338951
