       Layer  Neurons  BNNAccuracy  BNNFairTrainingAccuracy  BNNMaxDifference  BNNFairTrainingMaxDifference  BNNMinDifference  BNNFairTrainingMinDifference  BNNFairnessScore  BNNFairTrainingFairnessScore  BNNAvgDiff  BNNFairTrainingAvgDiff  BNNRecall  BNNFairTrainingRecall  BNNPrecision  BNNFairTrainingPrecision  BNNMeanEntropy  BNNFairTrainingMeanEntropy     BNNTime  BNNFairTrainingTime  BNNAdversaryAccuracy  BNNAdversaryMaxDifference  BNNAdversaryMinDifference  BNNAdversaryFairnessScore  BNNAdversaryAvgDiff
L3N16    3.0     16.0     0.833595                 0.769214          0.766212                      0.383723          0.019435                      0.000416          0.233788                      0.616277    0.406719                0.140222   0.732921               0.552969      0.782508                  0.460286        0.366902                    0.366724  313.741461           476.558961              0.759251                   0.025256                   0.000000                   0.974744             0.005976
L4N16    4.0     16.0     0.830354                 0.787605          0.702816                      0.427386          0.011790                      0.000709          0.297184                      0.572614    0.366161                0.144663   0.738935               0.602028      0.775005                  0.601257        0.371326                    0.404351  347.245647           548.221361              0.759251                   0.002718                   0.000090                   0.997282             0.001865
L5N16    5.0     16.0     0.824505                 0.766450          0.727160                      0.172716          0.004648                      0.000819          0.272840                      0.827284    0.343244                0.060098   0.729353               0.518339      0.770760                  0.472121        0.387607                    0.467027  419.215610           623.489326              0.759251                   0.000629                   0.000000                   0.999371             0.000109
L1N8     1.0      8.0     0.827269                 0.779484          0.749080                      0.463343          0.011259                      0.000583          0.250920                      0.536657    0.377205                0.149198   0.703625               0.571395      0.742779                  0.507220        0.358673                    0.346457  217.177284           329.464276              0.759251                   0.030004                   0.000000                   0.969996             0.003964
L2N8     2.0      8.0     0.834270                 0.766297          0.727215                      0.411451          0.017609                      0.000713          0.272785                      0.588549    0.399535                0.146888   0.730137               0.523610      0.785542                  0.422581        0.374831                    0.352398  250.745481           403.595450              0.759251                   0.000000                   0.000000                   1.000000             0.000000
L3N8     3.0      8.0     0.812652                 0.770766          0.629196                      0.442221          0.000000                      0.000619          0.370804                      0.557779    0.268985                0.149817   0.664195               0.587769      0.686712                  0.496008        0.384061                    0.376848  317.882043           446.734068              0.759251                   0.000000                   0.000000                   1.000000             0.000000
L4N8     4.0      8.0     0.814648                 0.761247          0.592300                      0.250320          0.001752                      0.000002          0.407700                      0.749680    0.278540                0.093613   0.664626               0.528075      0.692526                  0.463468        0.384754                    0.440829  380.332448           543.556611              0.759251                   0.000000                   0.000000                   1.000000             0.000000
L5N8     5.0      8.0     0.791202                 0.765631          0.355008                      0.151989          0.003313                      0.001489          0.644992                      0.848011    0.148652                0.041953   0.636145               0.551288      0.581268                  0.453930        0.483534                    0.489843  438.803881           609.899948              0.759251                   0.000000                   0.000000                   1.000000             0.000000
L1N4     1.0      4.0     0.779042                 0.759251          0.424570                      0.378216          0.001254                      0.000000          0.575430                      0.621784    0.152369                0.144166   0.550960               0.500000      0.466130                  0.379625        0.427119                    0.333384  186.443408           319.984876              0.759251                   0.055669                   0.000000                   0.944331             0.000202
L2N4     2.0      4.0     0.809059                 0.759251          0.498267                      0.219645          0.000000                      0.000000          0.501733                      0.780355    0.226098                0.070254   0.648222               0.500000      0.646448                  0.379625        0.410195                    0.421462  270.106731           386.622307              0.759251                   0.029626                   0.020689                   0.970374             0.024380
L3N4     3.0      4.0     0.794150                 0.759251          0.365285                      0.006460          0.001156                      0.000312          0.634715                      0.993540    0.148710                0.001456   0.601690               0.500000      0.556276                  0.379625        0.465393                    0.526756  309.240323           474.118312              0.759251                   0.021446                   0.000000                   0.978554             0.000547
L4N4     4.0      4.0     0.789252                 0.759251          0.379079                      0.138277          0.000000                      0.000000          0.620921                      0.861723    0.142441                0.044938   0.605429               0.500000      0.596932                  0.379625        0.450340                    0.475322  372.873556           506.578304              0.759251                   0.000000                   0.000000                   1.000000             0.000000
L5N4     5.0      4.0     0.765393                 0.756760          0.063694                      0.102034          0.000000                      0.000000          0.936306                      0.897966    0.025153                0.020626   0.525835               0.528145      0.421522                  0.414428        0.542609                    0.507958  435.064308           588.367551              0.759251                   0.000000                   0.000000                   1.000000             0.000000
L1N2     1.0      2.0     0.786105                 0.759251          0.310045                      0.268624          0.000000                      0.000000          0.689955                      0.731376    0.144708                0.100779   0.574632               0.500000      0.509423                  0.379625        0.461157                    0.397136  214.278259           327.435073              0.759251                   0.016239                   0.000000                   0.983761             0.000109
L2N2     2.0      2.0     0.776678                 0.759251          0.229732                      0.250513          0.000000                      0.000000          0.770268                      0.749487    0.082188                0.069816   0.571742               0.500000      0.505145                  0.379625        0.471298                    0.415392  259.985848           391.132356              0.759251                   0.029027                   0.000000                   0.970973             0.006811
L3N2     3.0      2.0     0.764978                 0.759251          0.342846                      0.122925          0.000000                      0.000000          0.657154                      0.877075    0.108121                0.051007   0.608210               0.500000      0.538764                  0.379625        0.431761                    0.461521  284.311684           435.666313              0.759251                   0.028365                   0.000000                   0.971635             0.000013
L4N2     4.0      2.0     0.765500                 0.765751          0.114381                      0.138064          0.000000                      0.000000          0.885619                      0.861936    0.031216                0.044799   0.521679               0.517758      0.423317                  0.425499        0.495910                    0.489303  381.436804           546.320074              0.759251                   0.000000                   0.000000                   1.000000             0.000000
L5N2     5.0      2.0     0.759251                 0.759251          0.036147                      0.098728          0.000000                      0.000000          0.963853                      0.901272    0.009882                0.028590   0.500000               0.500000      0.379625                  0.379625        0.509138                    0.503961  421.430474           609.615094              0.759251                   0.000000                   0.000000                   1.000000             0.000000
