       Layer  Neurons  BNNAccuracy  BNNFairTrainingAccuracy  BNNMaxDifference  BNNFairTrainingMaxDifference  BNNMinDifference  BNNFairTrainingMinDifference  BNNFairnessScore  BNNFairTrainingFairnessScore  BNNAvgDiff  BNNFairTrainingAvgDiff  BNNRecall  BNNFairTrainingRecall  BNNPrecision  BNNFairTrainingPrecision  BNNMeanEntropy  BNNFairTrainingMeanEntropy     BNNTime  BNNFairTrainingTime  BNNAdversaryAccuracy  BNNAdversaryMaxDifference  BNNAdversaryMinDifference  BNNAdversaryFairnessScore  BNNAdversaryAvgDiff
L1N64    1.0     64.0     0.837970                 0.827866          0.828554                      0.847279          0.021252                      0.007946          0.171446                      0.152721    0.461047                0.236703   0.740341               0.734714      0.790433                  0.770463        0.350700                    0.295480  215.292969           313.602340              0.759251                   0.048514                   0.000000                   0.951486             0.005758
L2N64    2.0     64.0     0.837740                 0.826313          0.847514                      0.816418          0.012918                      0.001692          0.152486                      0.183582    0.491034                0.208953   0.733736               0.712012      0.793304                  0.776591        0.341548                    0.300187  286.782549           404.456917              0.759251                   0.024475                   0.000001                   0.975525             0.005325
L3N64    3.0     64.0     0.837970                 0.823771          0.842247                      0.716905          0.013368                      0.011711          0.157753                      0.283095    0.514407                0.211031   0.731853               0.701845      0.793877                  0.778787        0.338934                    0.307810  351.861503           496.406818              0.759251                   0.007949                   0.000000                   0.992051             0.001459
L4N64    4.0     64.0     0.837233                 0.813518          0.869297                      0.629353          0.018916                      0.032293          0.130703                      0.370647    0.546253                0.216035   0.755229               0.682487      0.783520                  0.779522        0.343322                    0.316299  388.447535           574.983268              0.759251                   0.012772                   0.000015                   0.987228             0.004617
L5N64    5.0     64.0     0.836558                 0.800723          0.832544                      0.715067          0.011174                      0.008954          0.167456                      0.284933    0.476469                0.268843   0.738847               0.699177      0.789664                  0.714386        0.342121                    0.321447  454.991271           627.911842              0.759251                   0.003945                   0.000002                   0.996055             0.001226
L1N32    1.0     32.0     0.836711                 0.823822          0.814739                      0.778356          0.015052                      0.009033          0.185261                      0.221644    0.451074                0.233049   0.734319               0.734762      0.789734                  0.764623        0.349446                    0.310785  222.947614           293.444233              0.759251                   0.086357                   0.000000                   0.913643             0.000517
L2N32    2.0     32.0     0.836942                 0.826160          0.809505                      0.794068          0.012854                      0.007540          0.190495                      0.205932    0.464973                0.213830   0.734979               0.716146      0.789912                  0.774057        0.344192                    0.302368  293.535350           392.935807              0.759251                   0.015488                   0.000009                   0.984512             0.006824
L3N32    3.0     32.0     0.836419                 0.810430          0.810421                      0.649174          0.010709                      0.013175          0.189579                      0.350826    0.466572                0.207819   0.739195               0.667460      0.787071                  0.733138        0.350605                    0.325606  334.962088           463.911830              0.759251                   0.003422                   0.000000                   0.996578             0.000201
L4N32    4.0     32.0     0.834485                 0.789413          0.784686                      0.419536          0.016756                      0.003229          0.215314                      0.580464    0.423964                0.130891   0.739818               0.591290      0.782472                  0.558217        0.365910                    0.369529  381.681077           528.494402              0.759251                   0.002628                   0.000000                   0.997372             0.000511
L5N32    5.0     32.0     0.834408                 0.801815          0.771345                      0.599473          0.008663                      0.000427          0.228655                      0.400527    0.415919                0.189583   0.731759               0.645309      0.785401                  0.694704        0.352088                    0.375735  459.443604           591.405447              0.759251                   0.000726                   0.000000                   0.999274             0.000164
L1N16    1.0     16.0     0.833594                 0.798318          0.770734                      0.569629          0.015378                      0.002336          0.229266                      0.430371    0.432941                0.189892   0.732298               0.641458      0.785554                  0.636086        0.354804                    0.330093  216.672931           313.592845              0.759251                   0.157054                   0.000000                   0.842946             0.006957
L2N16    2.0     16.0     0.835068                 0.794957          0.795210                      0.588726          0.015695                      0.002623          0.204790                      0.411274    0.433054                0.206353   0.736131               0.636341      0.784348                  0.698710        0.348131                    0.350908  260.566952           392.703672              0.759251                   0.039586                   0.000000                   0.960414             0.009581
